delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
0.020377275095100324,0.14599402309212803,0.21171267010181938,0.6121978529609328,0.00021030302245763526,0.8989735994641064,0.1423235104357606,0.6075000514377992,0.7787019721449511,0.9604208872372011,0.7502051966382872,0.5840684759773546
0.672924548203156,0.20076017580306896,0.063313053582481,0.5053562365714209,0.0002755466185947045,0.2898401531234764,0.5763706607754007,0.7744632709911354,0.04933701520878548,0.9777581695527221,0.8129333806334184,0.15249715017816576
0.2767017834184982,0.1970492902704805,0.6302227617886075,0.05522017115297012,0.00025167021093606046,0.11696527350260477,0.4533001537355509,0.043559111935815145,0.5941725117198376,0.37993840705567244,0.1735458143786846,0.9237067004711393
0.09468224419448391,0.43310524314573395,0.611350577464742,0.3266337319330288,2.877810612545249e-05,0.49976257884199454,0.6159385116572014,0.747723707253036,0.029060158677499753,0.6107013483634124,0.2255505474912063,0.9141828533933983
0.1912571521714295,0.023052983143223436,0.2170834727998071,0.5000398795581016,0.00010320016254629665,0.0020139975337575265,0.778391751942449,0.9947383677168271,0.05984419307490168,0.8366610732826968,0.11723011449044407,0.7428006900578511
0.3087012621584321,0.16734427061377838,0.4237694096734621,0.06579035912693991,0.0002339712185908326,0.6875930409975942,0.8724517128538736,0.8772500542977237,0.7273568633066329,0.24623180704671818,0.673173031483883,0.938086841162602
0.10694167715195202,0.6884745274579398,0.11578020030325942,0.6493111712920465,0.0001229550534319922,0.8199610507089885,0.9808525207434037,0.7739077540469705,0.6735876182568369,0.9999769495683787,0.31303860157648844,0.22825485437979331
0.6006779962394948,0.024732827673243783,0.7309535390029231,0.0604682764049777,0.00016747688301340836,0.0370635862938676,0.5032371499216728,0.65883218125567,0.010118930765713342,0.8770275190903594,0.5914432201950285,0.8889429716051572
0.7396351533528761,0.2177020582943795,0.9415547424122422,0.05559610745302984,0.0002656719721233683,0.43584348063460987,0.9258954950287797,0.4089752295236691,0.763173792623255,0.09781051024171307,0.9050294848521961,0.8581491355356008
0.24904876665413586,0.2144838064772644,0.05563170503463527,0.040339341754821414,0.00012708254765544217,0.9773806547559989,0.3176811084506479,0.43177859662341844,0.965686409507156,0.6714661444921464,0.9274127844011308,0.5277242338592657
0.009906486566170426,0.6726801753650056,0.0007102002526632178,0.6817970492431442,0.0001739162047503105,0.7373243920477445,0.956186388177765,0.30378688336139453,0.43142739645747086,0.7574076811606597,0.6890681310980391,0.8098319986382928
0.1456080907593343,0.027552889449342838,0.6142129994753922,0.1356445212649768,0.00020743397024053535,0.9665281913940704,0.8981991543122668,0.5882818205291173,0.5061563350070513,0.17543950007383585,0.2743189779520599,0.43059767877037436
0.05501085091883179,0.23071426754420843,0.07424631537082309,0.46179500630889314,0.0002624794886611429,0.7457303732466717,0.6905383600245228,0.7120748248361861,0.31464014926585704,0.3425361660535219,0.09180641595483353,0.4404355868846448
0.6544256871834335,0.3101705552197067,0.07577094943017253,0.12792589685373598,0.00023860000562381725,0.6709530904803388,0.11653790620931492,0.6783208734952132,0.570879488762672,0.5780311009124052,0.9964177499378606,0.32248089478132824
0.3118136855341629,0.039169170450037386,0.17660484129032855,0.27788801186518103,0.00026879239442924405,0.8134446185876234,0.250210905750263,0.543291299938759,0.6214252455113589,0.278360558547139,0.5547235301154341,0.0782684929798996
0.25794231412877405,0.032379259042806995,0.36862654449821547,0.08662962240464125,0.00020785793873193334,0.1452475896073294,0.16998965387328563,0.6454398547532394,0.8819564882310342,0.5682955880888049,0.6051017693309945,0.0379755426368071
0.14270740112290733,0.0967299671781915,0.4062529757987609,0.3968325592601924,6.645402009315104e-05,0.38721827631312816,0.6139254233887377,0.3158054382372413,0.8097688996146702,0.6092794605280123,0.7995815174286075,0.9929745507833054
0.35130398398476237,0.16017335458380294,0.11526544678173323,0.4569461552267512,0.00017231758386059755,0.790452614241673,0.8603932452559119,0.7729390844783895,0.515522146614868,0.694660000548015,0.5700443188868572,0.7370288579651996
0.6243227285182508,0.35482889244953286,0.24079922576320464,0.6572746133755019,0.00016333494725702158,0.6685260664758396,0.28502608697514825,0.7371351783157499,0.591649218740263,0.5917870304846263,0.8548514585911264,0.9072559441444221
0.601027259908771,0.2989126837104114,0.5780672045989097,0.06444527774743351,0.00018925481496260212,0.23416588389173276,0.5388040165834731,0.15114779524156893,0.11887300679316136,0.06488552834507859,0.9814605006452293,0.49896453979412453
0.35405879640053783,0.1705846555304124,0.16706413740442366,0.5388009536788917,0.00021942318317437958,0.7446676184130078,0.3589780549606214,0.9320150928139482,0.5981554231390198,0.20720694728787062,0.1378177290046598,0.5108337512079224
0.36243206229960295,0.4110309647297237,0.21831411978826876,0.31899230921524846,0.00011672546150165551,0.6481984529558354,0.46521479076860717,0.6460722406056048,0.15550734488130563,0.549193630904918,0.4572234084601645,0.4745738023392608
0.08143610694394579,0.7245525808852706,0.14358689199772431,0.032529883400316005,0.00022483386035847687,0.4802041120348646,0.7845911791448277,0.5811475697766261,0.4066594634934259,0.9451221905431766,0.11932445751440245,0.9545569868431558
0.3772626147917391,0.3752414334649328,0.6785267034861757,0.1287102612408568,0.00020286291247413246,0.18064528567114882,0.3395041287760088,0.8552211479515628,0.5710194784233005,0.31484622809400453,0.1302264340156258,0.19156915027540303
0.3194073680523295,0.5569538362530329,0.4031572119598473,0.28258091920386125,0.0002828569715993141,0.5548769395774783,0.9892267295924577,0.8977663626398078,0.7841389424313252,0.6916813964422239,0.27996756158056996,0.9756139256631455
0.25394168220644736,0.5211801281147865,0.06205835974031542,0.09746732531789827,3.7412596481286564e-05,0.26756311071090894,0.014288869198654894,0.4997048418103635,0.4431572507916415,0.2346336832372371,0.456909623287433,0.8577316468706258
0.6769973958977058,0.2993156685435941,0.44164084707453044,0.27835408174836646,0.0001698042853021249,0.3192627361829372,0.4186734196132972,0.7885060870306927,0.4993720380667806,0.9979768451364521,0.7963440100774841,0.6445339812584965
