delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0.056002748109963585,0.07656925758558977,0.6007273695960019,0.10986213498508712,0.0002255882576493766,0.23331790814444975,0.14419667635661146,0.8193925753477437,0.15822412088283627,0.7602900870964175,0.27454951431924074,0.9325431258673471,0.039581720406794155,0.05717179806709666,0.4520154007362365,0.10382922792882777,0.00021105309785965826,0.9566165637581777,0.14528526245542292,0.987265726284533,0.3841189297671747,0.33296438792463534,0.2699141790367858,0.5034972354850284
0.02004587724151883,0.8346498367951487,0.13132334240471508,0.5001341128468206,4.305072655019929e-05,0.2387920107823047,0.8672585450567313,0.7595940423453154,0.19292457818105394,0.665096525475314,0.8608168263107843,0.7707838511533517,0.03025581567025667,0.9318177898041364,0.57216724737211,0.2343925970751496,0.00014667321896465904,0.17927628285664793,0.05169391812014185,0.7537982832612838,0.8999156089243785,0.9011770618367372,0.8895352261554743,0.5101033303362968
0.03474419317153706,0.02291976426836526,0.5372092380660989,0.2948206695381575,3.2331824230206066e-05,0.6073594061207888,0.5858103739319471,0.8493591697083828,0.42371374130651296,0.08138350305335887,0.9245190087644306,0.18888129336629436,0.20162973715478685,0.6620263185177644,0.14415301177933101,0.5533644603472564,0.00024412697645618593,0.49663584906705566,0.11073743024774108,0.861062343440971,0.6078913949487086,0.6759458741343252,0.11572371605012366,0.9655451419250006
0.3487535006591145,0.4223100015070853,0.07667370237138862,0.0790137669079384,0.00012741676578057053,0.49362143045124723,0.19837607602603305,0.9086007975877798,0.1869725372716118,0.4128386690340237,0.3920289007644095,0.7330223010076142,0.34965654518990386,0.6011248920841479,0.06552603344561174,0.2679081213854773,0.0002619054411253207,0.6057784295766372,0.6879100203450418,0.245560298755765,0.8336805273490282,0.9796551687490388,0.8076350676118398,0.462794547557163
0.08595550958980738,0.3842983529607494,0.2980979580598883,0.4964396884769258,3.5502381644418074e-05,0.20193847998585027,0.2955479154404443,0.8870943390707279,0.5005848167377255,0.08858821926758301,0.5277318998012941,0.409232445818734,0.5233633112333023,0.0879607363607672,0.25340965353635,0.1674153512853664,0.00017115488494052076,0.6801390260239656,0.1786484919172871,0.8677406640806548,0.7309724308664265,0.1871213945799143,0.8654315448695337,0.2826220162258097
0.12726307469604312,0.42963880049894654,0.6464332653109217,0.33143561846140634,8.208798311521473e-05,0.9763045939435604,0.07808929639277765,0.9459969073913939,0.37530192111338595,0.06605167460177445,0.2928204064558774,0.3781276907590147,0.12960012510735694,0.33790973573998406,0.15448415802171617,0.0367977578516114,0.00012076845248238344,0.26863755075845613,0.08732800440893998,0.8427583340276846,0.27596877383806123,0.6910058050676448,0.016155119615269702,0.39703553536984
0.41081894681056813,0.5521672249208466,0.6731950360591981,0.023819809178906668,0.0002809038566115537,0.8013056903326734,0.9042614536286088,0.9504378698187241,0.8784514421519198,0.7902916258974344,0.8002406711144661,0.5491238932699013,0.5606339730916624,0.13943137870091324,0.10019913097203105,0.49255136003572814,0.0002871988149143295,0.5958288152414916,0.12952765526383933,0.0894395983144736,0.49500815379758906,0.23764766640637122,0.6015355569661273,0.33625568151892227
0.31960248732724894,0.04769468641984415,0.4233594901355081,0.5451940609836884,0.00020563879458971964,0.003351694908991007,0.35488180703135586,0.1156202325447312,0.3556765582627295,0.2279187666519843,0.2999883732777116,0.2573854475421972,0.4330574868815795,0.33396813489884236,0.3231837916434922,0.30480618793391284,8.745490656775895e-05,0.4317044585075156,0.7764675685822628,0.6374671764417998,0.6597558500000936,0.6689074480809655,0.6915941336325014,0.5998445355883583
0.1298717281801289,0.19367939786489266,0.49691629976038526,0.2122274959727487,0.00016583452492664557,0.6303967106727997,0.481237226642206,0.7899409092502465,0.6036746565088589,0.6353435928712524,0.4654364427762203,0.3932467547972334,0.3194357790030563,0.15995130735528867,0.21760682618969018,0.0889615045172836,2.5607396714831362e-05,0.4130022996538049,0.5056068150975888,0.643259896091917,0.4962876027805701,0.37421817698898724,0.31458046894276437,0.9961462527271056
0.576611006448438,0.11319574152831602,0.633505081078865,0.03885900507656766,0.00013766254231390977,0.4537216866667966,0.15510287270397977,0.6567002259446566,0.06547787323508829,0.9129492270736825,0.029857196425399714,0.8791295864420431,0.5483089098955622,0.19452730823835954,0.3062871067034716,0.15281989386440392,0.00010900946277038279,0.7881903959408995,0.2522659585295724,0.15601772167780598,0.1496000793616354,0.9117248431230556,0.18842902106707363,0.5407470321385245
