delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3,delta_4,gamma_4,eps_4,r_4,x0_infect_4,beta0_4,beta1_4,beta2_4,beta3_4,beta4_4,beta5_4,beta6_4,delta_5,gamma_5,eps_5,r_5,x0_infect_5,beta0_5,beta1_5,beta2_5,beta3_5,beta4_5,beta5_5,beta6_5,delta_6,gamma_6,eps_6,r_6,x0_infect_6,beta0_6,beta1_6,beta2_6,beta3_6,beta4_6,beta5_6,beta6_6,delta_7,gamma_7,eps_7,r_7,x0_infect_7,beta0_7,beta1_7,beta2_7,beta3_7,beta4_7,beta5_7,beta6_7
0.7715452512231213,0.06293510936096851,0.5014417596912115,0.3500604419002461,0.00027675250330758057,0.08982576542611534,0.001323108040939935,0.6518755653816988,0.5038228058263607,0.41597511787611047,0.8553157718431802,0.16382482350985356,0.7191763214963681,0.04497586963054741,0.241338086780679,0.09766503276135143,0.00017865686166710338,0.4278656552582166,0.03277392913802565,0.9704148968932936,0.3571846277351698,0.41809448300958774,0.9598497592648932,0.6672919540211723,0.01983006060786128,0.7230126544352504,0.18672597585399955,0.6740525350833673,0.0002131755872210033,0.8974103420394659,0.10953940716470234,0.1457166987596394,0.29370435125577393,0.8703509072428532,0.3839173258547364,0.7558610337840008,0.6898224162313675,0.094727945763758,0.3446675690200486,0.34145531315183675,0.00012435541204235562,0.8450642295501873,0.8125310439150663,0.6428357416094911,0.7575664241009512,0.10351385720061225,0.8487998526971415,0.8487312790275392,0.12346807801920899,0.24912853948131616,0.6153858163156798,0.05416415325391227,7.425319867589345e-05,0.9087113879763147,0.35318119562461303,0.3305061332630048,0.07033642240499509,0.8280680830179962,0.36800254329190923,0.33631192457796755,0.9156029560324046,0.060778886703414185,0.7756629776886583,0.1665236997295338,5.8313755234464616e-05,0.07431182860964729,0.3514631160938525,0.9629635592645625,0.029378200864657117,0.1436425582935573,0.56719473506868,0.17280112322870417,0.45723870537610145,0.07391064518720385,0.1300719582863726,0.29265854863156554,0.00022393977641394929,0.6829544987455635,0.7349369149202479,0.5679454032619704,0.07021445160159893,0.5167219873094323,0.03863025106507774,0.759290628908278,0.45981880881484205,0.27721283470237673,0.46827175890795003,0.4483652344196928,0.00024841355245973384,0.36073458847609985,0.3214939009247636,0.43337972000537184,0.44621889061601416,0.6463016233048012,0.9637715047715512,0.6985614574673962
0.2837384575988154,0.26935088079630837,0.3006251717787796,0.5366184428860639,0.00023786928646651913,0.6906745548392458,0.007740913470302695,0.4523420102660193,0.6765019712841599,0.16071462524867125,0.24955660751538175,0.6622310748114427,0.005034698167772129,0.8931724912245653,0.3486356160437777,0.35444765035283665,0.00010931164467399723,0.8744671558385559,0.548890624361477,0.27346179268458964,0.36307112153572535,0.45728348014352427,0.5478572902422755,0.7813056784526657,0.7320262807238594,0.14925141789184523,0.6130823715630034,0.043469744661120815,0.00027436461176538946,0.8525882642248396,0.046283290981992194,0.5386231353566618,0.017694739554681798,0.5921219654890045,0.600112047195965,0.4917507504118988,0.6748189560247055,0.1927165994816931,0.4350550407023642,0.4950946731937866,0.00022057647252992258,0.7382668801132914,0.36830942999077204,0.6170800728038985,0.39439290092294005,0.21467883959951228,0.9791893229317906,0.35216239058466536,0.7759543653982739,0.14812458843697127,0.2727788378638924,0.2039548402180558,6.541760256320808e-05,0.057961842325569946,0.7563749488078855,0.059113460628525676,0.8404587517117034,0.5518266584978354,0.20948544616454723,0.013507483542548368,0.4956060241076968,0.3312594028659619,0.12450505737313454,0.8098336601415441,1.0078555960696579e-05,0.17686818501048712,0.02825079694081764,0.2974480280750584,0.6333437945802429,0.5045638383306059,0.9623570879255579,0.163036316585838,0.1011903192513114,0.6566091557450855,0.2667926816271153,0.616014821711526,0.00027920937761446356,0.40991396607461433,0.44142522016290664,0.25464288879254865,0.7210327855983423,0.39658941661249164,0.648463325499041,0.2707012305547946,0.1102265875069488,0.4310141659383291,0.2903115830367277,0.6232330609497542,0.00014473271563566825,0.3735471370050873,0.9805518627863425,0.2801704307239891,0.16769465780426945,0.17220591370651678,0.07119303212158916,0.5269901977585064
0.3420188015470479,0.41019937656640953,0.43409901409266094,0.08078563751720527,6.0632154533254836e-05,0.8678026678316175,0.744105549747797,0.1501999872617362,0.6512013863795466,0.5283382074040178,0.9897134486397101,0.15520153825152178,0.25614084486454886,0.33072665469891227,0.4211132293700822,0.44705234127119575,0.00027350893507598073,0.2459209222017272,0.9622531350401787,0.8047974482870662,0.3423600980201498,0.34472649620076745,0.4999775468278664,0.48452674054145456,0.002988260629707915,0.4650507546830406,0.288749252747795,0.7065054613923388,0.0002503136310293875,0.8333546430004312,0.23868474593544817,0.010852290448988711,0.9422525528089275,0.4948200698897,0.36764435704318005,0.4818972952126535,0.13473730057946773,0.4499766932061915,0.10041009081142428,0.7918571101313759,3.428345574063277e-05,0.8312260231040421,0.030815440068776536,0.8416780599376323,0.4612811681129221,0.7559217751034799,0.16882977073097488,0.45671194808716997,0.07614374696282715,0.4607964992807402,0.47947226411344607,0.21702063130033777,5.5267157713093403e-05,0.8602670842701033,0.6600251728890959,0.6875411891927367,0.830814067808691,0.3935236557830008,0.7446554563981391,0.401929315781169,0.10298199486153815,0.3370507703094032,0.4519232036047096,0.20037326130430136,5.469844065940375e-05,0.8916427641142458,0.10155082007337614,0.39282366328898494,0.6604281642631527,0.9584781676781597,0.8593971867831112,0.7935903219654729,0.4873296357340658,0.2823147794210675,0.19553771980276982,0.684507773802336,0.00018585525338999157,0.6157621418052399,0.2703977390336875,0.9423418450191662,0.2508684178301929,0.11634887891239398,0.25402010313508966,0.2796592702187571,0.6121002781103844,0.04180259011101224,0.7683019663221962,0.06167313076082031,9.613975357095105e-05,0.8693634053830519,0.024988496501971633,0.18915578299643346,0.5730483604766379,0.4391617262359103,0.9607789891049402,0.34331841418123155
0.6478669735477012,0.08400425498045741,0.2774610908129877,0.3154318692651986,0.00013066531813148605,0.3754322268865173,0.8287022888490062,0.7803049416582056,0.6050160958260963,0.7021733224037757,0.3569437575233728,0.38230569774428397,0.48555075430156197,0.19433020745948584,0.5560254465942207,0.25015771839609063,0.0002610332824947357,0.3796060656106868,0.24108042514002578,0.43885084018554754,0.3438005704103776,0.7232121854903196,0.6842485463517238,0.05154843657560277,0.19848932568335512,0.3099192987526501,0.021709318091522524,0.18361199691128763,0.000264548877700864,0.555738658399847,0.38101614726675376,0.8218902193364092,0.2711554640404766,0.11582630685803297,0.5690833658649248,0.6962060928036915,0.15854034946898582,0.2554131626012481,0.17627381788175128,0.4938856994943224,3.968888706720008e-05,0.43626226081489383,0.9762326626194588,0.6669228677279557,0.5311313259403515,0.818838219503057,0.7124675974683932,0.5295688597205164,0.6409326889339142,0.25787980755343903,0.005531684193704196,0.16196923319797035,4.107590146323168e-05,0.782182579621451,0.6655424509164414,0.5726478835419562,0.42046774585926694,0.028830093026658815,0.7683975114917633,0.0994665271356985,0.07544186862277517,0.37846434563782766,0.4610241063274817,0.5275223124807116,0.00020280986360211886,0.7680169466872383,0.7452943194282842,0.5200568746478708,0.49344635554266975,0.1437331886950954,0.5104120710270007,0.06830402331575851,0.07108450405201265,0.028213471463705203,0.4771518348757611,0.17531720794851663,2.0339188653841426e-05,0.5637406846571317,0.7824915228915774,0.44265201770220297,0.9692306002404909,0.8383806281651426,0.8058930646263692,0.3476825946288452,0.0739858416930899,0.20678749485217343,0.13919092280208564,0.7647471126416642,0.00012976400531060464,0.5909609302498974,0.10979633432420344,0.10044095042789149,0.06636406517266895,0.35284024278911086,0.04661332162760707,0.20546312211027787
0.05382564623787839,0.22914350374492842,0.3152505092324809,0.5992817658279936,0.0002325879478368718,0.3731434941309995,0.274322416123347,0.3019548753401639,0.6471648121546882,0.39311026997793225,0.6168416548890359,0.8898942732195138,0.3669508710474762,0.09189907242691144,0.40584783991278134,0.0030942590884406296,2.944252682183131e-05,0.15623612285527272,0.205106728360427,0.3095495067345262,0.4929170854352363,0.38384540378393456,0.18041253936998786,0.9151033010481858,0.32770649807382934,0.5750803329055849,0.2540164432217236,0.13433181336132768,0.00012463197871322824,0.4305947600258404,0.9324128087915773,0.5459012024948392,0.15497775420604593,0.2675513419152458,0.601966821919031,0.6522882707498552,0.1458148184617993,0.39362801299835887,0.176176372992429,0.04293545172379927,0.0001485576650772934,0.6378377024764889,0.3135033415912113,0.188137853400178,0.03269846153846153,0.7597539626074444,0.2390875748941612,0.4077417772964819,0.3887178907329834,0.3630222234509179,0.25982468137337417,0.6223867358519869,7.18190790367268e-05,0.3102674438883768,0.6100479998261111,0.8246229894437472,0.9856308566417631,0.7810313171248441,0.30175848473624206,0.1636147784420517,0.09199060946122962,0.7570193029153278,0.08449594860711387,0.21978005710815007,1.900813094022268e-05,0.43767490313331847,0.7263015208779957,0.04839198596333911,0.8251973020340131,0.8465091623762587,0.7854290534548505,0.9465759566321771,0.787031724847362,0.16708135633518534,0.36009963892350016,0.123834884433479,0.0002751846048771315,0.3920335848306183,0.25385156888046573,0.45845235626059855,0.4345073249393625,0.40365438966062867,0.5065928161003627,0.6925239408109034,0.23098067347283147,0.26888086527982075,0.03741932420369295,0.8529466898017053,0.00010003133533593482,0.6547927029963224,0.5618724516386524,0.656542433949464,0.4574315786388129,0.6499666564843634,0.7388877240044088,0.8312742115387041
0.41345218723827587,0.28855212428420945,0.12549898804592227,0.7172848229786475,0.00024351304572165343,0.0025805036950460308,0.4614405814158191,0.7922723957409621,0.2776850481392909,0.9538969317642872,0.5065206199737379,0.996653224472619,0.48663725912964534,0.179295105952276,0.2903741457815318,0.07231358502492251,2.844946522404485e-05,0.906417908683968,0.563208825365138,0.051543898194429456,0.03733892180200168,0.44584170175474014,0.06805711767776383,0.07164364599198796,0.5740847410825966,0.2496214547957902,0.686475402263675,0.06281253635683486,0.00011004525338134525,0.1028072470877315,0.09433783129691144,0.9733644512056653,0.1730197363483667,0.07618785985396419,0.13909498857533306,0.6688147576953293,0.47378267686379,0.13339009038772773,0.1534354458929143,0.7922419284223694,0.00028347697542744287,0.13971855224740568,0.8941883809216741,0.37773281339007886,0.43863847719422233,0.6804454811782735,0.3928001823877419,0.2691806006823461,0.46858043428914586,0.465612627193165,0.8192140809906897,0.03579529284510293,0.00023406388520477657,0.6985628507127507,0.3036807571313042,0.38862505197259806,0.5641404289088948,0.8438893327827997,0.16797587704823486,0.3113660147865198,0.10512396243350997,0.08946674385909717,0.11801156301621396,0.25616449061958274,0.00019746172766220004,0.9843648453342319,0.480498894854895,0.6979102056018409,0.03935048470027898,0.3501095355923721,0.22982278461345174,0.5585810377900083,0.31573230644900097,0.19259383900643082,0.23505725046171877,0.3706609687362225,0.00011567005115402745,0.7507872843889462,0.027350176637799678,0.5380946473028615,0.006328908396221128,0.8110705936552575,0.8121792639332353,0.10644013240396999,0.12874998229338283,0.363714013965493,0.05353853021799099,0.9328976948678066,0.00023914203893145628,0.6832295492449911,0.7444564046812097,0.17340763822541755,0.7415769682224193,0.4971758932442146,0.2203461805420498,0.6139785866934544
0.36785212566302145,0.4745733179474349,0.407593843735302,0.5218920084387213,0.0002521926757515973,0.3320927377540134,0.8511771359118554,0.5254206341813141,0.1954723646667649,0.3086032310012188,0.775083713547899,0.8056061540025131,0.7606455798453826,0.19573193647808187,0.12326323316897302,0.1081551995172162,2.0970341652080454e-05,0.3134648344553531,0.8971179454888282,0.06904835801119828,0.8706176945666068,0.5454882098182653,0.5957865500090719,0.9280118912745072,0.5912862337296209,0.19398326558438075,0.719858659712614,0.010620303612633986,0.0001704492623277927,0.962927807508704,0.9416473310540373,0.3868198024228628,0.7821292123909551,0.5909499167838731,0.7079939932912016,0.9615652774352921,0.7407389232493236,0.0660682301464555,0.7705766500670358,0.024221955621645617,0.00022899901192701642,0.38972317806597484,0.4487231357478084,0.922677860537761,0.7076014394335053,0.25245412922827276,0.8324888017722564,0.2884469976320135,0.20826640001115018,0.45263983561017007,0.4571520821965528,0.3697649947077026,0.00010417876337477174,0.9626640876328393,0.41701845525291636,0.885175714203643,0.33085268918177824,0.5584576551956137,0.02215152378244587,0.5163553571814438,0.007283823101453029,0.6780934760561368,0.3157768217834661,0.1680752259543345,0.00025271288266985684,0.05247601129309892,0.4024082033527902,0.44573220215139975,0.1876114528090446,0.34868758912581344,0.7675841114050977,0.1044821941104016,0.42512126054804156,0.2747907033143015,0.41776735687356237,0.5595896135881311,0.00027315020840692437,0.983727245311924,0.4618990643778387,0.9813820583446214,0.35180045947397576,0.4388010604487429,0.11706530770607215,0.5657699901021886,0.7156334140921882,0.0771158164731556,0.5587803061799843,0.22487063400131435,0.00023142829940196085,0.04656604698763595,0.8924329590173914,0.7386030923161213,0.8892686418786142,0.6078637085248796,0.6822196572703029,0.6299928468595972
0.09943015776017984,0.476717566595449,0.2954621185941008,0.32739845090547326,0.0001863832411640137,0.18367136507641893,0.7098242822999904,0.6383721259677209,0.8361164889540691,0.22908928309905718,0.11039591953978356,0.856737770159443,0.2508583236960021,0.010677234417751803,0.06697864295382909,0.5426053350093947,0.00024791797490109264,0.12619862942069868,0.6628342799808931,0.4864092308928472,0.8702668744369791,0.5498887301864952,0.6573342211225978,0.3125757232285701,0.3751852682869781,0.004480932451040528,0.11921222920439299,0.7692939668630104,0.0002585746173032829,0.39021104238706666,0.8149702122127203,0.3088976390089996,0.5948263425175667,0.24702402740649052,0.45294779162834575,0.03170778603075893,0.20518606213648252,0.49322427157382537,0.6489960793442993,0.04953890549018631,0.00010383913462536754,0.013920542724243243,0.7058881855594591,0.5682976694791575,0.5567001071843546,0.19702526972770187,0.7254619521944342,0.26791977228797675,0.5907453039185341,0.3864143810394673,0.28897557139319047,0.051109942751261524,8.670212110484283e-05,0.2841003427051741,0.5061504070348626,0.46926238333320536,0.7090938766048338,0.19275664851553168,0.35021452940160636,0.05092261780405056,0.38291716971172446,0.492869497957619,0.6600706543436647,0.11794652283433193,0.0002599164932724072,0.5122842766098773,0.6151019791455786,0.0965064808276034,0.318573815394962,0.10491256175992125,0.9857219140951188,0.590930529450437,0.7503723589279819,0.19191393451913255,0.3277639590827329,0.5574057151219008,0.0002363626604743331,0.6468014838345647,0.50034883931042,0.8389686421840346,0.8254296169974107,0.2744353944003474,0.9452345468512824,0.43897078846191573,0.4961830529796662,0.10704594534322531,0.5012387292313221,0.2588549178877018,5.9771511303934556e-05,0.360128647298655,0.7975315094746626,0.35083390953333216,0.9081183459253982,0.5211655504283199,0.14200278657829898,0.2750944469279643
0.13178635226100652,0.3850765622256945,0.40438136406463837,0.25059062194378207,0.00028232220092326885,0.0772335952895811,0.16881841130716707,0.48962467305159113,0.9710542982271707,0.7739750208402401,0.6938327485608259,0.15221734019593156,0.3167829967348952,0.08037995418821456,0.02567381456224502,0.6539788187621619,0.00018098262711315158,0.12928999393161475,0.5476234730270215,0.2651978123734085,0.10963782733505145,0.8448177843884556,0.03547715518618507,0.6568014392571905,0.83037358573486,0.12132229742977817,0.03903948942050124,0.11678477452199088,0.00026350966781105785,0.48280253841256976,0.7081808740808206,0.25376906388139836,0.7107712160190949,0.7987930819297278,0.05588562909665068,0.4191832591352507,0.16695735780896498,0.3157759111101678,0.36555288474306896,0.16603773522667226,4.624165809898632e-05,0.24304333366302264,0.8133348044542491,0.1307501173958003,0.1844278922464129,0.576041984502272,0.2536530024416797,0.3808180087757364,0.07640816154531807,0.6386764459482306,0.5000878707199506,0.4473272367480532,1.0856414599761836e-05,0.11172924750402702,0.37371071570084596,0.2130876599972632,0.46967622335701764,0.433513286136574,0.4464151273457735,0.17921825099949867,0.6069600378850986,0.27312982674785763,0.02606176121710288,0.2194596416527721,0.0002654183222761573,0.9944491428700617,0.2127319884869373,0.7228634192999422,0.5495405039841372,0.8209028737312711,0.0048084333296102245,0.10636895717139017,0.2603372746296185,0.6991066564320032,0.8603513550928406,0.1367940498896467,0.00020891168888144117,0.5952344283633213,0.3345570606352428,0.29916331576969507,0.20246392349774436,0.8988006725167437,0.9918920096841545,0.9229913771088584,0.336094998494852,0.5194817915395035,0.7838678858809757,0.07286903159733997,5.319180139298689e-05,0.935145880075141,0.48032918009203,0.483962827277402,0.6736954551370316,0.030201762900533304,0.8842036325215398,0.22721942100214088
0.7013604327967473,0.1925988440322031,0.4803263777194183,0.31820428411579726,0.0001498167201689261,0.10713804819334283,0.5256150673489731,0.2873383438342179,0.2937933653814207,0.923911782351324,0.1490667443177864,0.6056979764574576,0.7005500719639239,0.13807649896275495,0.6774800779779662,0.19390070918380134,4.645807460951325e-05,0.9430532905490571,0.21873651590302678,0.7094707069556224,0.8745388084171649,0.6054567356056431,0.0743682687358495,0.6996540530966959,0.4439917614180179,0.19917742830864496,0.05465983855299533,0.44473154392681813,8.19175460516009e-05,0.08748873200307652,0.23108951165723102,0.7113296949381672,0.4842642806233583,0.002794947662691503,0.6502742215025831,0.11101703932516993,0.0008963294986438218,0.7390639833859188,0.3315123377687592,0.5727858078048083,9.386498033442678e-05,0.5285881995934405,0.4011582270948389,0.9857838593651296,0.6353921659721382,0.9558428310233751,0.3312931604087702,0.874506581653873,0.43104343808019807,0.10581116149022551,0.40109125557128983,0.5606379994637721,0.000131003965786395,0.24136328843705288,0.5237333443583391,0.8463148100724072,0.3674049244334932,0.6633112813918672,0.03288449835895465,0.7670863572855278,0.2847774499652473,0.3011356386647935,0.060893643962300174,0.34135152469856445,0.000106468373832757,0.4984336493253711,0.09410496303211059,0.47770303428309696,0.5721750876648626,0.8768308523913254,0.572398948451781,0.424913874477571,0.21596318565424322,0.6696253459067432,0.039664479292059365,0.597553946281265,0.00013861569454199686,0.21120462888353997,0.1426196562091808,0.1279360214535484,0.9102146452214754,0.61166937909332,0.5186693375885562,0.10343734345388413,0.22036476668798732,0.022589485421027542,0.14607122519254365,0.8107917126584064,3.532381977067361e-05,0.8070870904024257,0.22330045521843134,0.7765982040241497,0.7350456116071465,0.33165302318276124,0.6831997317744156,0.6557342738376105
