delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0.23312821723243363,0.46314076798684045,0.09429682949812886,0.07572275129875286,0.00014229273786952291,0.05086913343613614,0.03588052286780621,0.06388457115289163,0.06214290395794663,0.005045787085617227,0.00895123286397872,0.06670838042997031,0.6829527023059596,0.2918767821988529,0.2704982040466547,0.48983988217549274,6.662470844732635e-05,0.05694767141591745,0.03390233965598189,0.008896745388045177,0.04732110190477066,0.05372040165424743,0.023810627678940946,0.061855752743996656
0.13195773402921882,0.3291631655591805,0.07510768756233624,0.24237837072854937,6.085996468989632e-05,0.0689102080603086,0.036775019410465015,0.05636042434973303,0.033596457123870646,0.06666983237501545,0.02764525970560169,0.05809008099161007,0.38482695255412336,0.09575914563680198,0.3068155358793839,0.665485382664019,0.00027847379526995726,0.0526157980051728,0.010813769488170397,0.0015744012104439355,0.019972409345768223,0.01679688832067337,0.04599075011560862,0.023751636367399707
0.5497997891081636,0.17159928369471122,0.15276207943532844,0.4290406718633936,0.00011445668680254018,0.06191515157966024,0.049320670279454526,0.02834280385799658,0.03965607407387732,0.042223360839739384,0.05643032938651423,0.033174143970177636,0.7828168679120914,0.1209996367025267,0.5957480269240016,0.364596420847031,0.00027200347958460206,0.0052212845891694,0.06808924216371197,0.06092972466647528,0.028981592559389802,0.05699288474187683,0.03978700437101865,0.02109221492653801
0.5541944074711714,0.2673475675014961,0.22093904253119748,0.2737502242643027,0.0001845848136738224,0.06816439133876306,0.0656876305900435,0.014722979219680795,0.05669858331181452,0.02878604090673099,0.04193117136206857,0.053004992876416315,0.9232985486283923,0.033406919727544906,0.9857587813948547,0.007142331587478958,0.00016680466619094423,0.023376068144312645,0.06258953330079756,0.04189067928490652,0.05226331493565563,0.020796552649888233,0.021372341319337265,0.05831921602452717
0.9810198380828504,0.013518752300920827,0.7560645872880669,0.03986881487147295,0.0002599768890728315,0.009355774362827592,0.04276191975760621,0.04523921088489741,0.05756480501152791,0.03447046507638862,0.0629566601030251,0.033104171051323766,0.23162166705639614,0.722896392568905,0.35119745214995907,0.3030784874948015,0.00014750457905217767,0.03202731442874252,0.05800673881048771,0.013065570086240803,0.031900520280276644,0.007621108522224298,0.013472803189899962,0.040979455594450744
0.08315330109020726,0.4165794211111795,0.35430996948642696,0.03808389011060397,2.2038937275281172e-05,0.03462057142594708,0.014209436212551609,0.04707790478389584,0.06773153535993226,0.01707641610595429,0.007459278360141435,0.06731700813184033,0.8914483499294806,0.020977290465389098,0.6926174557458495,0.25496996043573306,9.944996298100568e-05,0.0013259418987781012,0.01792397079764245,0.04679601243265927,0.024736382983193354,0.05070919975260529,0.021884341109235806,0.0037841043316330296
0.8636750908972339,0.11931136139070918,0.97498010191951,0.005606529080108333,3.965053560114186e-05,0.04818370103413401,0.014840604348147865,0.022746335198690654,0.005707530955304256,0.022525239261273568,0.052686051980443446,0.019406747367060755,0.27461075704607213,0.46191546481218493,0.009448349431460749,0.7952342363582637,0.0002582209558214113,0.05438325700238581,0.0385169794257389,0.009258782461370471,0.05099474744073369,0.0017190238511991742,0.006044501329858734,0.002113600903324326
0.18921591750862765,0.6666360466981599,0.08832158767615975,0.8907037444306568,0.0001776354887171939,0.06239328187084405,0.04322764344429919,0.018874002929109034,0.04323175525750767,0.013623111640833244,0.013743565602236406,0.015561817855912253,0.0244397865209286,0.46120626977875856,0.9924001284457188,0.0028629125195889435,0.00013154977196784242,0.04236358177233744,0.04038206748380239,0.0647362526339193,0.024095583759033996,0.0036230874148325963,0.019754621810409514,0.011376379255758113
0.2028532066745385,0.6304582836441713,0.7606071605311749,0.0476953797064443,0.00015742798481598304,0.011727641060622098,0.021303878662658926,0.017054938060998694,0.019390450997663358,0.008124105270876973,0.017725717464501828,0.014785191337562413,0.7685412181774277,0.009749259945348258,0.9428052898477889,0.03673448820679447,0.00011301518369863827,0.007019740251039674,0.04818190431127921,0.056993998002992256,0.05863338407213865,0.05282125571065187,0.04127542552391655,0.003128399295592989
0.023164518659305265,0.8117285631232235,0.8068498148039261,0.04593670531673215,0.00028541342569040864,0.028916330283455922,0.008642920782383103,0.05825190193351043,0.006542088865043104,0.04453439792207763,0.04464097921159065,0.04057898908250737,0.612889427720157,0.04282807752911982,0.021025558523720848,0.30005316683201083,5.9873777562188364e-05,0.006456894426838187,0.01984517920006457,0.027211890805425912,0.038619599902277466,0.015045015085286186,0.05563477507054748,0.02168291484801706
0.019827004426365116,0.6760356965010377,0.8283609142819198,0.05132194115882411,0.0002722376711430202,0.04833061059795245,0.04849909596767144,0.0441652404724646,0.0233856739200463,0.030546577620101215,0.048528385172880883,0.016436499637029325,0.9902093923191161,0.008296856520165425,0.3139183857291362,0.2336956282113448,8.041964393130784e-05,0.013638151451035835,0.015755670980736904,0.05316928013326685,0.00978810709600808,0.0001426993030299281,0.04492550238134698,0.061216415879681574
0.34484251995170706,0.22053939884155419,0.5435420382806186,0.34460037382608255,0.00014812098165195114,0.06646809203952259,0.0025793757265249006,0.0320300606871396,0.01723187390810176,0.054235997361092914,0.03504424576349697,0.021515046937863144,0.7278933218054848,0.027994175824645105,0.7768852555402618,0.16326550493581238,0.00010849153510189688,0.031489282025949875,0.05905434146659685,0.04816896530696943,0.04063870462262058,0.0025491806540277363,0.027684737089370373,0.06382492992313762
0.28122732854224697,0.622131350655323,0.34676497317630445,0.002944563451468486,1.2055255360724727e-05,0.06064487650061007,0.005270306994437235,0.010994493733504985,0.061427550719911704,0.06770021897637286,0.061868658423312496,0.023607371661463587,0.9457126802749933,0.029518499998803367,0.08417112884558255,0.016254046990927664,0.00022139244744855835,0.053161101733071904,0.05082694362345271,0.0009669228017398738,0.00405547466606131,0.042025540860981446,0.04626047158001628,0.057360126791548546
0.7364689924730836,0.16751901732579702,0.4220943781680382,0.04317325798805409,0.00023741418968422015,0.056879453827883585,0.013178867539632152,0.03748645544223643,0.021713842546267976,0.003340982431826596,0.06799979989267992,0.04648504806612712,0.4107788191999526,0.36062314243878085,0.8817258308988022,0.07882870027614562,0.0002338420654071077,0.012962881560823867,0.004937790162198182,0.005636374309144778,0.042513902951974096,0.042820731081330596,0.02476370679023442,0.054532519479744766
0.9362093765966888,0.05627752912748084,0.5308721766304256,0.34709003691941337,0.0002257975225861373,0.02607603208373091,0.00575943088063979,0.0542450114312579,0.050226741565860863,0.05625953772215133,0.054672230997202365,0.039389369995528285,0.8039882622714871,0.07889897703086961,0.14973254911533668,0.089109195049408,0.0002372810344535671,0.0589251774698506,0.06600247390882623,0.021823160029100622,0.021586171478966642,0.03132375147406294,0.03850396658281783,0.03928965004252311
0.38301485613256175,0.1941468620949113,0.20108567293072424,0.39508150239300766,5.612248906239614e-05,0.04995503992730116,0.0402936468192462,0.013817151652135182,0.046475915700908255,0.05861545080940546,0.020097517209420927,0.013562282599589756,0.9173269964818215,0.02926834440116856,0.6567375643270441,0.012788342925810332,8.975572075342333e-05,0.03573980960957982,0.04464064491544824,0.0039795076225308664,0.05004894184593654,0.024676039477909757,0.01381291323079895,0.05876255050260831
0.16400735943750402,0.15356172200291446,0.8104027285364006,0.09677629553800475,0.0001402127481965507,0.012614655174184817,0.03974476703843394,0.03068094314322985,0.03928235955475216,0.03524998495072236,0.03636450763865041,0.0009834601292214344,0.53806067850058,0.45593227811823456,0.5189624015809475,0.41732588454129216,6.959736652555411e-07,0.04513886075653585,0.03943220765031649,0.037699649122678966,0.018356046835526146,0.04381002813438844,0.047074110237929956,0.0004684534023851107
0.17256235247954202,0.4873495548035217,0.02436623601532364,0.317770619827754,8.288222624240347e-05,0.026644317990124886,0.06024237147854909,0.049172808411107174,0.06329643778453585,0.06278902906099527,0.038038408959561135,0.06411747567303021,0.39623851823954864,0.578221657096745,0.259218450711036,0.3517568993513691,0.00024758358810149725,0.004484251059358299,0.006732899900261711,0.010185770471155188,0.06767414703873943,0.006229087362597901,0.01009712906304131,0.0448540686261109
0.2163255631097212,0.06350891446274039,0.9307979109065165,0.001278139871835293,2.476453595589812e-06,0.05471849243721892,0.04162622845469642,0.030154823724407614,0.01041149671973781,0.03832736661344449,0.051136761569307285,0.007568044841674484,0.3387485259866588,0.08429185741954157,0.824281780862599,0.029850506310425993,0.0002554004151543028,0.024320340067807027,0.04321008175782927,0.043623761967468005,0.0007807649777554225,0.06648984283052187,0.06635933433471472,0.026528638083509203
0.10744205511226229,0.5831626868915901,0.684514547179428,0.021980212456812497,4.20270848306928e-05,0.05244230872913291,0.009588894915153875,0.06760452105545052,0.060206674992375524,0.02080235664551674,0.05411455103684428,0.0641855998281267,0.34188058881295846,0.45191170214451815,0.9011067081063997,0.026482685340679938,3.7958049503174005e-05,0.028656189942182397,0.05543267744749259,0.03319441161132832,0.01734870940190296,0.014115444454371873,0.0203015582944798,0.03414176959995801
0.9916094247955389,0.004768298328379152,0.9408406626679395,0.03581986105338026,0.00011932080454651325,0.04006902188857396,0.03216256409722596,0.03330835828652399,0.054195942360365075,0.04132371065271354,0.03725034002008722,0.002987666296777044,0.036206977262582984,0.42689585733364943,0.2603893371061815,0.20579620485251213,4.6887975469341085e-05,0.0653676657541941,0.06708511411940177,0.06803763171392888,0.011547673386606585,0.005745255638779818,0.04983273149724468,0.03606715524723994
0.9114408055957421,0.0030886742657899443,0.511882203249505,0.19266688721285427,2.936242329503529e-05,0.0032481301339619757,0.05495936648181305,0.021540927607491895,0.0015875777260418867,0.05721298698409377,0.05223114880177465,0.04725603996249087,0.86450966655393,0.03427514027825707,0.791053669005292,0.20426699598797368,0.00020957671718635945,0.05758310396640901,0.054270467977710485,0.05869948606777965,0.0443726990398926,0.027397839956464522,0.05980069091612338,0.02704280442883487
0.6425364378553631,0.07350481868051333,0.12074027550859083,0.6113700897995886,0.0001029010148118085,0.024468180793206562,0.05904215930863466,0.0368056297647738,0.018214009116166052,0.006621593487341657,0.0018215456377023475,0.009033500400411598,0.216106519268269,0.3348988953379879,0.8028608645838394,0.031199947524170542,0.00019016089444267052,0.06865632514275535,0.026724383833674956,0.034222308427346394,0.06680168584274493,0.04555910732428315,0.022332479257504888,0.02949825392876909
0.8387824360317688,0.15894467457169534,0.7167037276972352,0.07886315810839034,9.829592256547592e-05,0.05555047697441024,0.04822815401497466,0.06214501914180192,0.05117822866733675,0.024459683020243827,0.02530865228023326,0.03045173706145546,0.5686155438713651,0.3509367866092189,0.38447159796368136,0.5403859424903287,0.00013983673568473192,0.033610979947982844,0.0025811741561136536,0.038788042173285575,0.05962961080611636,0.05030296192256279,0.027532070119986832,0.025384129858031984
0.06915115457446273,0.007722782462978853,0.5677231919320146,0.41312533833199516,0.00021445186739238697,0.05592319158157913,0.06112628196559132,0.015861963220031746,0.02755060416820321,0.021844531657554123,0.040952213410834715,0.05424662006287378,0.7163283366251223,0.24641939886140216,0.4643804379910467,0.171699097018244,0.0002192701099575958,0.005937713326818694,0.023023562387443575,0.028979328156535134,0.013515328554793734,0.049557653999334914,0.054432205499906135,0.016058801335130466
0.3712556010864596,0.42086319182938847,0.8314979977598751,0.09352255264428373,0.00021942806350343737,0.05833177580826551,0.031148240962091445,0.04989448400170188,0.024331362825487153,0.01072167861088661,0.010945923821861577,0.04428793182319025,0.08052759344153126,0.0911346616472686,0.8135906714652407,0.0408492021292266,0.00024293684446558713,0.023987294618906797,0.020814925853694818,0.020956238938955558,0.0315313955781143,0.004759920646766382,0.036246218869685314,0.05089696050266941
0.45868618233775305,0.4108046326727625,0.2871140916859121,0.5293744040829022,0.0001714036494713886,0.045117392250677436,0.02535229875730943,0.04062579552543666,0.03487209923662664,0.00570513076736559,0.005677235480910223,0.04193391344290805,0.5110242513001207,0.42012188585232557,0.06313519423466388,0.5802457823811502,0.00012814847710507926,0.03248850160887874,0.06661614182296376,0.04532860585550789,0.020576156390247898,0.03404066089690301,0.031406466360876704,0.056096588061132865
