delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3
0.574520025643534,0.2519398307423163,0.4454704521182144,0.3633209868670469,0.00024394240749218358,0.051101042526726405,0.05663534900879381,0.03186549284975644,0.040162220145910435,0.059374356693047955,0.027681034137215337,0.04850213980743159,0.4623758114267079,0.2769250009683824,0.10185137475996779,0.5869404163601185,6.788810767179097e-05,0.03735295670377526,0.048611301365738,0.0390605944296915,0.013701791682233868,0.0615138399125547,0.0360396092812131,0.036225900894325105,0.40125743369167316,0.1933875404749945,0.76871784858462,0.19813961648196174,0.0002669543437733492,0.045262735304439174,0.055891310239056795,0.003998171285680754,0.05612430458273644,0.0202814803151693,0.028161718340678654,0.004688794700227487,0.7033607658489861,0.26457497476949227,0.6211866654625549,0.2654031208000381,0.00024510118370537503,0.01807481655106116,0.009197075173753616,0.06129327755688489,0.03717489235107721,0.008644133546684645,0.013477429275651313,0.011078741106925836
0.7572830120952208,0.1052855269896516,0.6903343478297375,0.13093738050264975,0.00021864712326181182,0.060914027469502835,0.051562861816094666,0.035079852231683084,0.03178356536550998,0.05473540643884345,0.0004775925082383834,0.025987404804797876,0.16488294002229634,0.019050322570582683,0.7470883643159355,0.1697894246769999,0.0002748361786693851,0.0032800288632768085,0.001458792727824795,0.020268860030556297,0.06157928101510433,0.0020509107089495557,0.052329954167221096,0.023553572491530478,0.06117883599978144,0.838885263808755,0.39727732153971307,0.5263425390814832,0.00023229866395718814,0.05424911236990032,0.015822073958287254,0.061870791450902136,0.012267603748868372,0.0264727468950973,0.06352935191100638,0.05971505557250416,0.277116218864903,0.6616660109912884,0.40689575908583203,0.053219427312266795,4.89286505858599e-05,0.05772622586653533,0.01007552274308316,0.05794362763254998,0.055949216096058255,0.051914714953723545,0.010936072116920534,0.04227915571973827
0.4212340419682011,0.35595052189003445,0.8416363333551912,0.08087063547495828,0.000159948140029883,0.017457379781148346,0.0377145736735953,0.014945534727920854,0.04956185023108343,0.05665064448362057,0.06468766288776497,0.04435849027127412,0.25119147370698963,0.26819529117059,0.08083623198401846,0.5255138308427328,3.9592065863152175e-06,0.03441189518114944,0.026923541589258332,0.054117494946693566,0.05254926032592763,0.06364634950609943,0.025449848763462075,0.02806907635271098,0.01949628954955819,0.742621581181161,0.21225450567424975,0.5128372337984344,6.589976401745965e-05,0.015082895581514521,0.0295494274750733,0.009015333039050976,0.0245975699675772,0.02545986977231557,0.05716397698122916,0.039339117195617695,0.9431948708846133,0.045785390886473015,0.664453384255846,0.2641122045767531,0.0001060488377971911,0.06394118071498973,0.030574481375345904,0.044435110842470135,0.0537731509506819,0.0062524640148629166,0.016616716781539947,0.030080392653778366
0.5529418529052499,0.1104276992953148,0.708929685849852,0.0059415415486932625,2.553260922210164e-06,0.05671244477496068,0.06083295806466473,0.005004555631503605,0.0248678860831894,0.010134928206659323,0.008158483429017425,0.06184155811632127,0.45837003982154145,0.5019410172660689,0.4064010240000741,0.2574204952795807,0.000169645062151675,0.01591617868614049,0.027942278912418277,0.047834797883683694,0.056989289946700626,0.04072951490836757,0.021368999862579143,0.011622019914307955,0.9780527433397113,0.005912159323307229,0.5243220119948353,0.23169608938075129,0.00014994783288062102,0.009552495202615651,0.005269311759247425,0.037652150918393995,0.04835563388447349,0.002698018154923725,0.03510688499295785,0.011347646464852675,0.9685917854105865,0.005888597464658129,0.1692316828368999,0.17971882520320887,0.0002767734528218329,0.03764748210819047,0.0313278468997938,0.04240764689062685,0.06670282413219748,0.05246321780946581,0.0617336875098048,0.04989042077609706
0.33732686027648484,0.6182223836028983,0.25202511648399895,0.02742297340186098,4.592424058890106e-05,0.0651615609452153,0.019847882512969435,0.05967370314415727,0.011128150944535455,0.016938797591675117,0.04330923868826947,0.008975942870233932,0.9064890048809359,0.07205254164710716,0.39844141321568555,0.4471067758839267,0.0002164582758086052,0.05396113451186258,0.03858193116002864,0.01347729243302673,0.052793778633546444,0.025210168699905663,0.04024369884234766,0.05965781318761326,0.536708545866247,0.38392925425796665,0.5672685023827699,0.25324163719324183,0.0002142099300108227,0.026503764808485195,0.027936096724038073,0.035064519458957236,0.03482992923088314,0.02084002974581548,0.04368164534886016,0.06279503764779777,0.5477125864987006,0.20706314947524365,0.5835925529241789,0.1327415744887159,6.374582646274781e-05,0.06465221455286908,0.010999658502291914,0.03227444667366981,0.015022854070458922,0.049580947716391745,0.05811630726494138,0.0298971767084159
0.4046879775337519,0.3885799982062908,0.6440082066508258,0.18939843271798323,1.403668829439315e-05,0.04419431636041296,0.008210208125932617,0.03748177703210456,0.055501577079071454,0.0413143210562041,0.046572337838759324,0.0471810072816146,0.491747525700631,0.3848002642760298,0.5548098416310011,0.1981734587359817,0.00015776656558504431,0.02771993045796401,0.0508644452401656,0.015092422821356892,0.026421052505778895,0.05174107356818442,0.06018051999550463,0.02767312005388561,0.30143559811912907,0.3221492625131182,0.1620167210812437,0.2868032192093165,9.398780365961028e-06,0.05128204966998214,0.017096626297445416,0.041326149306682915,0.03712487967395457,0.027291095222694933,0.03625237699205236,0.002560851988721071,0.23247180493242617,0.18675483408605595,0.8239709195716338,0.016263332834480265,7.264960748847076e-05,0.06600642584258891,0.0294651729774333,0.036586359467181875,0.050817266981621485,0.0018728398278001538,0.006192396837237388,0.05811860606423027
0.28507566372771376,0.24717513909959107,0.9606965580224359,0.03561902648878227,0.0002872398216998056,0.01893893635779258,0.06465247212181882,0.06232705467656473,0.0350238412755516,0.05540619979154066,0.05270837793142396,0.01019772882542408,0.07574832217665305,0.25117951549664014,0.9806262914238724,0.0004135764890105135,0.00025208421435674277,0.04261446093285378,0.03389603338341597,0.030937849006861615,0.0005322443565658516,0.011410200538436183,0.030000112814052585,0.006583437170160176,0.08014292356512918,0.4843209792288612,0.9438955142590341,0.026210398176098024,0.0002758714013313659,0.04368935506649066,0.06670140839999142,0.01978770584560434,0.013333272880179261,0.06008923625756962,0.007964664157487094,0.06444292473532018,0.3644247832267965,0.10645225592878632,0.5357474836438695,0.18360078778041466,7.19829035959099e-05,0.006753423527286857,0.05204336447071505,0.05277184778078618,0.022626572061075587,0.05965944785090479,0.06374136057423083,0.03834105415331011
0.656583570961572,0.0765655972484644,0.7133437063534317,0.049401019493449334,2.3053212952378897e-05,0.028750577355701037,0.005400299447277608,0.020050922350336352,0.05869782429397459,0.020767550771086954,0.011103913098789477,0.029958032093364055,0.4738976884980407,0.18947685795645303,0.28340527600978227,0.030468866877838747,3.5136867248222696e-05,0.05915713689325655,0.02069139359468998,0.0037432290329361554,0.02500811144162301,0.05762021384800774,0.02165783093628217,0.057866310766063384,0.31159110504206217,0.411627294609658,0.17462807611273798,0.2787129616764775,0.00027426874591838206,0.060470950682218444,0.008166424475493119,0.04260991588581701,0.029591230652243224,0.033099174573572004,0.06157556135265682,0.06349976436749431,0.629738030617657,0.28165955501527246,0.09962954931622789,0.03171088187491591,9.045295889480147e-05,0.05598600755130042,0.026306286440468483,0.05586390293251467,0.03812073917926856,0.061966866213720675,0.019720514669860252,0.024048109245511533
0.5949294698834566,0.20876879880160396,0.9876007865956538,0.003289671944642306,1.704760015335817e-05,0.021346907275584998,0.01688742864747943,0.01598122445738584,0.01370815674650284,0.05203650955824354,0.009240232706322626,0.0035744231622059134,0.7625919680743161,0.19626799687911,0.26751058704268404,0.269602002416893,7.798589534057992e-05,0.05967749611446888,0.01985209730368383,0.022718607409968103,0.06574694905521332,0.006175923582747926,0.011674351232097313,0.04731623200943507,0.7459433384160906,0.2432796810602657,0.8993692237953997,0.08546329390548754,0.00010740271193399926,0.04846594644277185,0.04009278928852145,0.04908007794208745,0.05815196545593384,0.04113219766209341,0.015476267739576995,0.03253600139861166,0.5845141153669107,0.0835000900958593,0.34016848472495825,0.5261146227936199,5.481005673748691e-05,0.022856349442664684,0.0033150131778179348,0.041335179298343266,0.06597246887743742,0.009885583926543356,0.04450566776130742,0.022896151827572635
0.16181501323450814,0.11216040614647586,0.6038883041948395,0.33792607521232193,0.00011971931860093034,0.06357421916840827,0.039913795780397346,0.05286392966206494,0.03836719000251315,0.03048270653220693,0.06055046203692124,0.06372903663232399,0.04080656298906065,0.47882083636340084,0.43294036073308084,0.265178298810734,0.00018341882566764834,0.03134323805156768,0.04902051885402062,0.033463729196369287,0.05027219320336777,0.04474801588121348,0.020253260906565887,0.04170058611864237,0.5273493000337782,0.17963105132253168,0.69711729693828,0.11136364989385175,5.632419232276593e-05,0.011350307161545812,0.03791075413442704,0.005481538835147709,0.01637036875010146,0.019875207671070122,0.029129965474691426,0.022845758327733286,0.9140668149256267,0.08489679918246629,0.5143212654184552,0.3651515011908578,0.00023103301573817412,0.05268795084292308,0.05772204147587524,0.035240243075165864,0.018397373193424094,0.05603876604817948,0.049128525104711114,0.06603773826856164
