delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3,delta_4,gamma_4,eps_4,r_4,x0_infect_4,beta0_4,beta1_4,beta2_4,beta3_4,beta4_4,beta5_4,beta6_4,delta_5,gamma_5,eps_5,r_5,x0_infect_5,beta0_5,beta1_5,beta2_5,beta3_5,beta4_5,beta5_5,beta6_5,delta_6,gamma_6,eps_6,r_6,x0_infect_6,beta0_6,beta1_6,beta2_6,beta3_6,beta4_6,beta5_6,beta6_6,delta_7,gamma_7,eps_7,r_7,x0_infect_7,beta0_7,beta1_7,beta2_7,beta3_7,beta4_7,beta5_7,beta6_7
0.5538410902127701,0.15330954458931695,0.33225039726487765,0.29875606311012237,0.00024600920674414063,0.030226537772972992,0.015697167338200507,0.05882745549183288,0.05987641628216653,0.011010446587741777,0.04625270135571205,0.008840159740413116,0.7738836564614646,0.16276472572124723,0.5154582133008421,0.28696253254351195,0.0002761710818273817,0.0474265060912368,0.023006000722474995,0.0034811629810211917,0.04696814696346026,0.017749880526553973,0.01200332600944319,0.02360056814834519,0.9371968954904548,0.0053710970675777065,0.49726805112181005,0.30858173402652306,0.00010921353832550459,0.031007899012435843,0.04256850365261812,0.026719909310717008,0.045859281931506644,0.020230444105796202,0.0009401213216517663,0.003697212386321025,0.6882649306993776,0.1983091432013803,0.3980061079983261,0.21908034846877728,6.261463970455575e-05,0.04920383193390754,0.029727095212550722,0.006050337879761387,0.03670083807923441,0.02096751808926169,0.02739302801638588,0.060834296380546,0.872339171859933,0.013881497419499735,0.805967668893664,0.017553926448152013,0.00012507091333118625,0.0008464501812261513,0.05437763883512433,0.02346659654725867,0.04077819597411023,0.0009276892272428591,0.04306983409591179,0.05950099840463816,0.2849181384617298,0.20165185527583246,0.20579537473670945,0.5219469305060539,0.00020305966217830233,0.04983467486868092,0.06193602085064249,0.022911437634974243,0.04993799428230354,0.03582794194109157,0.06128918534428148,0.030269964906680245,0.5742893098066821,0.3454492176320629,0.20379639980203798,0.362945560234432,0.0002084375652998411,0.009458209832185344,0.017424190276164975,0.058850676618972524,0.02751657666190797,0.006407877880303494,0.012088093098443348,0.031401152905932025,0.5887594089186984,0.019088410167759178,0.4618002206746134,0.22038106323127626,0.00014654294283697667,0.051265059364289114,0.04295587207683783,0.05808173951926116,0.012266652870495956,0.06041364692639746,0.02665115919830014,0.03182815999726298
0.2327046134282393,0.5548957145870226,0.24837324118873252,0.3387475213191474,0.00012269185895457418,0.06106135179640705,0.035512672418137284,0.05592510744453897,0.06378068284655057,0.014011738039797062,0.06612717056290779,0.01485045107422665,0.6741335530790922,0.009178941595926185,0.7008329721747046,0.10837436998467227,0.00023428217546013884,0.024093786028156153,0.0035400993561196864,0.005217125757171931,0.03920384091922141,0.002639241440478209,0.030776396348630195,0.011202654363653222,0.41070578111561573,0.10227040496458925,0.458081024234838,0.2548868906164051,0.00028497055175663924,0.04744276063084661,0.04790895358960302,0.02079554351556877,0.001052214382338492,0.022612040116052924,0.0590785245137878,0.0009617862467312749,0.8895921975570832,0.041179583373014084,0.7983291809527371,0.15239279939334738,0.00012537494458400906,0.024767914257743814,0.057136977507096204,0.02365810312428422,0.005111040153925601,0.04986222255457548,0.013728661150398218,0.016054097113249077,0.10885808513907458,0.19099863911923176,0.8786026814702335,0.03947407391624087,4.5747135375327065e-05,0.06634781097575718,0.0345226437825919,0.052888013633772296,0.06036176940385848,0.015643011987325848,0.03418752806464916,0.02983866734086132,0.08747573300193902,0.23248764428105576,0.8136286457518958,0.087919690514963,0.0001745164708153889,0.003935144613266133,0.053050399886513694,0.06612205297730213,0.0038118966056927615,0.004548444565802008,0.018005502384151793,0.044548481692554036,0.015155122625337015,0.9217427870243793,0.7787583004795432,0.04031519063285729,0.0001839332592022408,0.006601029619448891,0.03783258582744008,0.04805294821597131,0.02446904003999052,0.041922824952878905,0.013364615488137766,0.0572488190815714,0.8636704819948527,0.12125080582957469,0.9259446637497325,0.01842005017607443,9.372082966255753e-05,0.031253018337652955,0.03428310264919368,0.0645162191787761,0.017947140847025447,0.05527769121099515,0.059566283983439515,0.0036371032815820706
0.4336243984612276,0.03334462512885056,0.35480935467260666,0.40360971262402623,1.8037178843558447e-06,0.02634727588937506,0.02108846195317532,0.03848406429672229,0.02501047000328344,0.04503056519581906,0.028541367272670058,0.06024346420400261,0.08726911437873888,0.6411892878069263,0.04874889004251734,0.3852869844414479,7.565988872991391e-07,0.04677115348558244,0.02516154676601922,0.020412741010332983,0.03441428162515208,0.05304397952267173,0.038128654400876545,0.06164278809441828,0.6497849168100162,0.21552214760272012,0.5086868823207275,0.03551591556767971,0.00028921899932333713,0.06434278710287118,0.054823039337247914,0.04035627269380774,0.06609205504839746,0.01323568430486694,0.04975790894617301,0.02290639262181292,0.18383384100349084,0.213671353776651,0.6009257606986741,0.36480038179234175,0.0001197089146926376,0.03793652877914867,0.049557377785938404,0.001263548284367008,0.00570380139710417,0.031942090531624286,0.01105024267947443,0.06623925830587223,0.6242107071222038,0.3402346580689596,0.43255028630468356,0.02826771455458733,0.0002101945094291971,0.018833040617327504,0.02050401300013816,0.030881203542358137,0.044849221247914954,0.01795132847258642,0.016084900433727244,0.06404465035162912,0.0728487174549467,0.5711277486214659,0.08344450802595164,0.777081814762717,1.7611592367580045e-05,0.02421859079884499,0.04250166852735034,0.00802367657444346,0.054540107479954504,0.007740402557849309,0.03558462505191917,0.04337371303874331,0.020165845685067938,0.6840362633077736,0.05908144691002361,0.6727060791539432,6.095574224247884e-05,0.04450058925862984,0.06479456635867256,0.05295939118460163,0.01437638104624823,0.002616391963493307,0.008007371356706467,0.06487516346612858,0.24386796992029314,0.17690265607005345,0.8256938222304874,0.17200710423913856,0.000285761390718479,0.0021641876051359515,0.014830357307726071,0.054703661364728345,0.05256502841009108,0.027301624601872014,0.0035105203858428317,0.006935266613401564
0.7086518952091446,0.180833933872405,0.7058092841617161,0.2642291966627582,9.556080083730112e-05,0.035034151566751576,0.04430826777762002,0.023813676732821032,0.0018752934072721183,0.013040366420084019,0.0422098085313336,0.03571377517308604,0.5848738617423275,0.12439001235481434,0.42372982165151996,0.21342363257122263,0.0001545819097913933,0.04887467227299109,0.056379613728891886,0.0438860416272031,0.04738629508614172,0.05636741398998391,0.02892412171211419,0.008715764985003174,0.9454888952449665,0.017625568040311984,0.6609981452793823,0.25126225758749066,0.0001427485201812076,0.004826231166239719,0.02482145817581036,0.035967862146143524,0.004523612924633172,0.05818461276055682,0.020033900303030306,0.020333599601893092,0.7432014894236515,0.13437295759489307,0.9819332131749774,0.0004998921116143965,0.0001500938704984937,0.003143942308095697,0.03841349588380439,0.03616591351600725,0.015337527316058272,0.02357946764707315,0.016617711125006505,0.020414131841103824,0.9290262310214633,0.020702362829993392,0.3545748281794945,0.6361338378630362,0.00024902746917817615,0.03676956073996333,0.059165873696839,0.011422803807672507,0.03567234059259936,0.011147028391972324,0.05110208676699578,0.032917265927546464,0.5038203556114297,0.4136079674283313,0.468860844660517,0.1185213018749342,7.894159452769616e-05,0.019418506940717953,0.05743289534850382,0.05399310265068714,0.03118791650153582,0.03129548665247328,0.01202124859155524,0.061117070417337466,0.7186590342483102,0.1850691960345523,0.4062822204395117,0.2649240236189168,0.00016291927550774428,0.03716135608265424,0.034600040126390466,0.0178661020061071,0.0034224011290874485,0.03904047947141827,0.004410098053989935,0.02738593761220272,0.19999167522583106,0.13912839658435325,0.6467398976544101,0.31731336616754263,2.1937737609888685e-05,0.06632688452725434,0.053941749978631194,0.020074876215716627,0.06326476472283211,0.06098742719041657,0.03345229967824371,0.04175003278653848
0.3888351036153152,0.4501207087034319,0.8519147106123488,0.13900661675272616,0.00028019949431141853,0.04080780996638465,0.027425023221693653,0.043799186750896,0.014312724257359462,0.05850384393704313,0.05861938433431407,0.01069956963885929,0.4809278885718593,0.1947490260246885,0.3519172496014544,0.5868450752651949,0.00025297060176104484,0.05717580390259309,0.024536035614513587,0.0009002169656390307,0.035415637576258346,0.05204977461422866,0.03556790080982428,0.04828666768149097,0.09400554861437889,0.6355305116154444,0.1773063680748792,0.4445676719499286,0.00020641891108592693,0.03674269308587932,0.02953912503075355,0.020186032450305372,0.05678339794634095,0.055599327100089545,0.015406430142026905,0.04232015455349893,0.23826968280749808,0.22454611700286106,0.3565046115535006,0.1365807150939977,2.343731900495026e-05,0.02015726237450952,0.05482550224403199,0.01072041008987187,0.03589588837248589,0.01693692450458196,0.03553302424635123,0.02479082110849918,0.12889556792939194,0.3099030694651243,0.41474322143578396,0.42549601022508227,8.146510295577157e-05,0.05075115090047436,0.002396034994026713,0.05553901036322639,0.03981765340880061,0.06120041427507632,0.06436669530675532,0.025861052924264886,0.4497129739618311,0.44478116292690056,0.627222157370438,0.1874508619433038,0.00010135678172102095,0.06449198135375322,0.044086480276484236,0.007301852085091221,0.055994323541800124,0.0326147683462361,0.03738359470034716,0.020248854270158188,0.12193896484832423,0.21077535512195594,0.8042508455351414,0.07942846248291864,0.00015440853737675898,0.050002644341812785,0.0026659127093501,0.036525850395096406,0.03156327014055311,0.04049861433129194,0.0427458105481855,0.03311615570539639,0.8036247139241526,0.15943812711542313,0.41354943407681327,0.3587439922458627,8.901873899046493e-05,0.022232326526278507,0.0302816612529503,0.0073376886283436004,0.04636898893339848,0.029837215407923768,0.017657754318067095,0.032747363301104414
0.448663403195438,0.26742220078072404,0.5944636710764288,0.06678916614735045,0.00021637628825036873,0.05931321154803987,0.06478622977278135,0.012279309857073942,0.043125102764762585,0.05268735767942644,0.02457933561434854,0.06561959577763048,0.6513560544200648,0.28076398266290725,0.8857583219604277,0.06920487232749908,0.00021160663818289155,0.044122647865999634,0.006629431143096238,0.05583427387703158,0.013170796225928618,0.019176448645522013,0.002442045282667645,0.03606135958505306,0.1344086249681202,0.4682812868106419,0.7928149416910253,0.19565904954047159,0.00024584347154567597,0.024159898717213944,0.050647687423861706,0.04068397804353362,0.06091446006598119,0.01657450906837754,0.060379138599986636,0.004629339608887817,0.6280548384231993,0.3099816129625858,0.5606131516176642,0.2613859635655743,0.00027610760325990166,0.024003251064972045,0.013141114913317601,0.012903735914327162,0.0478227713778932,0.04865079118696153,0.06626159929185793,0.0368551047319756,0.6391804913253718,0.21367207072686312,0.2732551169328495,0.3772594352122843,7.778054114564447e-05,0.04695427068624541,0.05580991056410503,0.06328882057189827,0.028581188377635514,0.048550679685299386,0.052962709845235885,0.037675339238085255,0.5183018334157022,0.4408302099591914,0.6760905712847399,0.21425776133296184,0.00018008841551128728,0.05683337962874715,0.06255844402116621,0.010021056742003464,0.059022151476108356,0.02679158385296482,0.03828823824399136,0.05639296763033073,0.25901944283152883,0.6820994412764115,0.9094516591483592,0.004713577091475546,0.00021898184829221665,0.008954593723798645,0.040209364517009315,0.05747691457451441,0.026122287247029953,0.011942173518686757,0.046193736778687204,0.04333298043015045,0.23886401732660292,0.31319010449933704,0.5013686678468537,0.35398610497385186,0.00021023043643704216,0.04438929023634741,0.03869574882571558,0.020914799387871164,0.028515067326592657,0.06423479414923826,0.05223328780897542,0.03725881029617986
0.7742226720829697,0.19124297826069564,0.36388168281413497,0.04695664771546394,0.0002113129574945041,0.027488069329859418,0.031603143062675434,0.058435523705318564,0.023219880176878874,0.02933375412693827,0.004882103521089169,0.0427070603049317,0.10224870057859856,0.2455987428177178,0.9358303322133783,0.03769978034181973,7.729207278616843e-05,0.00974578520891799,0.03347056091162887,0.05791597818363951,0.044468329096992,0.015108996148172302,0.058875475176985125,0.0031262800008426154,0.2244117765343674,0.018656382174494758,0.41795871618776864,0.36579976566641537,0.00024982792208936997,0.05603671163527173,0.022688651503481122,0.04952812325292575,0.04863877675372877,0.024194338346269585,0.003321469070651119,0.048736636346829454,0.030028567053113388,0.8214191526729181,0.6266724729166115,0.023824263348772613,0.0001429365005686342,0.06074457845774682,0.04504228434539317,0.05840458966643298,0.042800079903049154,0.03108509405221341,0.0649056406864877,0.035507895237276606,0.9535146659125381,0.04264884725727887,0.3398673940175976,0.16203992545499407,3.4269012397197994e-05,0.05267133390941444,0.0636219929919057,0.018110836002994204,0.000895895214766265,0.055329333418162034,0.06140169184263388,0.022533144980520736,0.01143286882444727,0.5105009495283941,0.806674315569555,0.13010068929492385,4.184225811911189e-06,0.04917894834606215,0.0062333246185921325,0.026299538817088793,0.060547746828741734,0.05484909736803805,0.06179169742146699,0.05025340702636579,0.07510145839939394,0.12815638492786433,0.3002159605643815,0.5601585892797118,0.0002619871750944121,0.05336646926643747,0.06227903719748535,0.02185825272665507,0.012291545820307405,0.03478434515575208,0.04819856495664636,0.006556353068290907,0.12830895101114465,0.16372907608097365,0.5617637961774411,0.20756695390859461,0.00014016829536986304,0.03976738603460408,0.006091444198859094,0.05594130593367752,0.050442722011854395,0.04728272256709368,0.04330368562059513,0.019310096531645827
0.011416598222264113,0.3207212124803898,0.9369995857436458,0.01222542316258758,1.4703849027619898e-05,0.03981234116061185,0.05791265738265234,0.04644520955073278,0.02933218780358692,0.01768851578662447,0.010681535968823444,0.05562070754790067,0.27397072146060103,0.27919059398465024,0.07250159049698642,0.20547327396239964,0.00022719038991584763,0.04917293598291044,0.03498930198170636,0.03679473725579618,0.0249235668733877,0.04989685508120485,0.04636733176122382,0.05117506489590476,0.6562244160529901,0.27266049685992505,0.21688432516857076,0.0333349287368599,0.00017410617158908462,0.05992822341956729,0.01951433418729357,0.009260494716312755,0.01862110161830634,0.024635140799673657,0.03031279604255956,0.011775448077529707,0.6502632621103892,0.12779808786560032,0.4920286065755574,0.3870203697220203,0.0002208508286938826,0.059132178848745734,0.002588302163906633,0.04609004453386298,0.023005388538304875,0.024788337993950412,0.03845787111495144,0.01759567717421347,0.3038122309313675,0.5384313801851066,0.25760102956551295,0.2704556232321535,5.26704339541022e-05,0.029618413418231536,0.04546588957906486,0.0013528079135310927,0.06427929693894904,0.01617757976265908,0.02664875655291358,0.06080754188091009,0.671530399897286,0.2791320984282041,0.24152885591459586,0.07176988129848064,3.356811366676503e-05,0.03909431127887222,0.049208668044989815,0.031107611638832435,0.04185933865821162,0.03382167201045831,0.0418653108849316,0.042227873747975465,0.5020376404496054,0.42504769347096616,0.19007048489058093,0.1382664515982377,0.00011438188709860645,0.007185909496545017,0.0479536311815255,0.05420456715652289,0.05836860921316368,0.054056193707480174,0.03496742823362514,0.047342013824748536,0.333854125888375,0.47918743930931257,0.3525942567351055,0.29455265542018993,0.0001308714346330378,0.04183866585926412,0.06090758429251106,0.0641473150650716,0.03949341833184399,0.006266144981587028,0.05621522939636021,0.04030352347991063
0.6077660805032699,0.3797511155141759,0.40377175594635495,0.5125360278476386,0.00024373472146963234,0.020276477348345232,0.043402958999747936,0.02075204530207911,0.04795813540113226,0.01582379448010542,0.006223713718392065,0.052187315207187286,0.46341636875214115,0.1965618194531129,0.06960757863262694,0.09559036782503302,4.6734969325501406e-05,0.04813261114708705,0.04249340680798086,0.04981141381276772,0.01908544007860283,0.062488235273242126,0.0007887493434357441,0.01161122075547336,0.6005298604882068,0.150836199574118,0.1593870816314983,0.13231166387818585,0.00017187998659753994,0.02115643064084832,0.057773003702459275,0.027272330006826856,0.0510665248345556,0.053131635515183004,0.021528870221694314,0.05017420552323431,0.731428572920954,0.2590605936530595,0.22710639724665074,0.5609385794791691,8.967830739293236e-05,0.01590301327006702,0.010856904575284765,0.05446161037825435,0.024722550665354965,0.05488354867331482,0.021022563256709863,0.018629166351082138,0.9128889989285818,0.03605592612975868,0.8105151433776774,0.14012020436870454,0.00026206317631550217,0.03214352039699661,0.040888334060325826,0.009922535467887293,0.0208328261276271,0.03060999759318226,0.041743429476999265,0.00042394291420950325,0.9298960923932885,0.02354192860194566,0.289700054978997,0.43247013492223674,0.00013439403488096934,0.034309075095861244,0.007627721581613759,0.015430507068545197,0.048010841453464195,0.038972921498693164,0.006465711048561533,0.007265780781882955,0.6352280704791865,0.06691970981612981,0.45685991195090053,0.14086472332376046,8.072045250539507e-05,0.029963298349659318,0.02623231330953482,0.019923560874971234,0.042553396986014944,0.06167111033737689,0.054367518709592125,0.0044888329896866684,0.1054125459530303,0.7586084567493028,0.2580459921227853,0.1474447752039673,0.00017663995089821737,0.014717385557944839,0.029526037066772117,0.04354296980773144,0.06120900035691122,0.030368708859215644,0.03714754641799118,0.008643381632363702
0.8048677870164039,0.11721566230023041,0.13152948660511493,0.3170144124835112,0.0002699857303209274,0.028431718924065454,0.013512401474617585,0.04925718028563424,0.03731289661127381,0.04797373823070812,0.03992456802590539,0.059457495145637605,0.8160521539549809,0.03837158565182275,0.8039220225340525,0.16120095316599703,4.2898007536056226e-05,0.0644675561225173,0.04097253747573429,0.015875742530660177,0.041257603685406506,0.06371312438067252,0.047134015122620034,0.01228527646027795,0.46848309061787907,0.22287311388522923,0.4887254568883586,0.2883153146887689,0.00025268218134629085,0.024874031887703343,0.05266061902338797,0.01219197761505397,0.04809756083319956,0.046810246137830455,0.052536640563108965,0.018477430558683474,0.7736205072797231,0.03085220601366011,0.3175179773215066,0.24252896135642518,5.505942799784655e-05,0.05511711908778054,0.05592162007371769,0.046615253176701656,0.02344721157842354,0.00589434030480072,0.003257531819090579,0.0427016848535504,0.9729472188031016,0.00123149533595414,0.5354424528648027,0.25918992951109887,0.0001646903062023003,0.04106570217932021,0.0055390930146257105,0.041613346974504,0.017770130319000474,0.009720642726218302,0.02068937536885239,0.0404398517317199,0.5263296726351987,0.4166328583405076,0.3729927327731733,0.19004035766357388,0.00011671197789521613,0.02605455475802016,0.058203189321918196,0.0003083506082980793,0.04518840397348331,0.06083138521965666,0.05740231817471521,0.0404219186957595,0.2966234061093411,0.46956215228672704,0.4391862305028652,0.07996530883295772,1.5575741872572422e-06,0.052982613416200454,0.006625751334014962,0.06557056622850337,0.0073007476405965825,0.05971799067993682,0.04032713466958712,0.02137266339092975,0.3922625604124372,0.29707896033139214,0.8356155885642691,0.06800744041021156,0.00024753300983090636,0.0011964318795566022,0.05013248121593328,0.0019580041811924375,0.05864836741719768,0.04942973011467082,0.006739409538540043,0.06461184116944181
