0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00142857142857143,0.0398175702485912,0.0584742620404615,0.122971904191956,0.21983552053177,0.406043781465603,1.15142839009305,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000714285714285714,0.0199087851242956,0.0292371310202308,0.0614859520959779,0.109917760265885,0.203021890732801,0.575714195046524,1
0,0,0,0.000714285714285714,0.0199087851242956,0.0292371310202308,0.0614859520959779,0.109917760265885,0.203021890732801,0.575714195046524,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.005,0.139361495870069,0.204659917141615,0.430401664671846,0.769424321861195,1.42115323512961,4.02999936532567,7
0,0,0,0.00571428571428571,0.159270280994365,0.233897048161846,0.491887616767824,0.879342082127081,1.62417512586241,4.60571356037219,8
0,0,0,0.00285714285714286,0.0796351404971825,0.116948524080923,0.245943808383912,0.43967104106354,0.812087562931205,2.30285678018609,4
0,0,0,0.0135714285714286,0.378266917361617,0.555505489384385,1.16823308982358,2.08843744505182,3.85741592392322,10.938569705884,19
0,0,0,0.0107142857142857,0.298631776864434,0.438556965303462,0.922289281439669,1.64876640398828,3.04532836099202,8.63571292569785,15
0,0,0,0.0128571428571429,0.358358132237321,0.526268358364154,1.1067471377276,1.97851968478593,3.65439403319042,10.3628555108374,18
0,0,0,0.0214285714285714,0.597263553728868,0.877113930606923,1.84457856287934,3.29753280797655,6.09065672198404,17.2714258513957,30
0,0,0,0.0214285714285714,0.597263553728868,0.877113930606923,1.84457856287934,3.29753280797655,6.09065672198404,17.2714258513957,30
0,0,0,0.0307142857142857,0.856077760344711,1.25719663386992,2.64389594012705,4.72646369143306,8.72994130151046,24.7557103870005,43
0,0,0,0.0242857142857143,0.676898694226051,0.994062454687846,2.09052237126325,3.73720384904009,6.90274428491525,19.5742826315818,34
0,0,0,0,1,1,6,6,16,33,63
0,0,0,0,2,1,3,7,17,50,80
0,0,0,0,0,1,5,8,12,52,78
0,0,0,0,1.5,3.5,6,14,19.5,58.5,103
0,0,0,0,1.5,3.5,6,14,19.5,58.5,103
0,0,0,0,3,4,6,16,32,71,132
0,0,0,0,3,4,6,7,17,56,93
0,0,0,1,6,9,12,22,35,90,175
0,0,1,0,2,5,9,9,29,79,134
0,0,0,0,3,3,7,20,38,95,166
0,0,0,2,2.5,4.5,10.5,18.5,30,88,156
0,0,0,2,2.5,4.5,10.5,18.5,30,88,156
0,1,0,1,4,6,8,13,17,65,115
0,0,0,1,5,3,8,8,28,47,100
0,0,1,1,10,4,16,22,41,139,234
0,0,0,0,4,2,8,21,16,95,146
0,1,1,1,0,5,12,17,25,86,148
0,0,1,0,4,2,6,8,18,76,115
0,0,0,0,2,2,8,11,27,82,132
0,1,0,1,4,5,5,15,16,47,94
0,0,0,0,6,3,5,9,17,46,86
0,0,1,0,4,5,10,19,24,60,123
0,0,0,1,8,6,8,23,37,106,189
0,0,1,0,3,4,7,21,31,114,181
0,0,0,2,0,3,8,14,20,97,144
1,0,0,0,0,5,10,14,18,94,142
0,0,0,0,4,3,4,10,12,50,83
0,0,0,0,3,1,1,11,17,34,67
0,0,0,2,2,3,6,16,24,112,165
0,0,0,3,2,4,6,14,20,89,138
0,0,2,0,2,3,4,14,11,87,123
0,0,0,1,6,2,8,12,17,66,112
0,0,0,0,3,1,8,9,24,75,120
0,0,0,0,1,3,2,4,10,46,66
0,0,0,0,1,0,3,3,8,28,43
0,0,0,0,5,0,1,3,7,32,48
0,0,0,0,2,5,9,16,15,98,145
0,0,1,2,2,3,1,9,10,56,84
0,0,0,1,0,7,6,6,17,61,98
0,0,0,0,1,1,6,4,14,68,94
0,0,0,0,1,1,2,10,7,48,69
0,0,0,0,1,1,0,2,4,18,26
0,0,0,0,0,2,3,10,12,59,86
0,0,0,0,1,0,4,2,6,23,36
0,0,0,2,1,0,3,7,16,55,84
0,0,0,0,3,1,2,5,10,50,71
0,0,1,0,3,1,1,4,8,46,64
0,0,0,1,0,1,0,2,0,14,18
0,0,0,0,0,0,1,0,0,15,16
0,0,0,0,3,1,0,5,7,39,55
0,0,0,0,1,2,1,5,3,39,51
0,0,0,1,1,1,0,6,3,16,28
0,0,0,1,3,1,6,5,5,32,53
0,0,0,0,0,0,3,3,3,18,27
0,0,0,0,1,0,2,2,1,4,10
0,0,0,0,0,0,1,0,1,12,14
0,0,0,0,0,2,0,2,4,13,21
0,0,0,0,0,0,1,2,0,30,33
0,0,0,0,2,2,1,4,3,15,27
0,0,0,0,0,1,0,2,3,7,13
0,0,0,1,1,0,1,1,2,17,23
0,0,0,0,1,1,1,1,2,5,11
0,0,0,0,0,0,1,0,1,6,8
0,0,0,0,1,0,1,2,4,18,26
0,0,0,0,0,0,1,2,3,9,15
0,0,0,0,1,1,3,2,3,22,32
0,0,0,0,0,0,1,2,2,23,28
0,0,0,0,0,2,0,3,0,15,20
0,0,1,0,0,0,0,0,1,3,5
0,0,0,0,0,0,0,0,2,4,6
0,0,0,0,1,0,1,1,0,2,5
0,0,0,0,0,1,0,0,0,9,10
0,0,0,0,3,0,0,0,1,9,13
0,0,0,0,0,0,0,2,1,12,15
0,0,0,0,0,0,2,0,0,4,6
0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,1,1,1,3
0,0,0,0,0,0,2,1,2,10,15
0,0,0,0,0,0,0,2,1,8,11
0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,1,2,6,9
0,0,0,0,0,1,0,0,1,2,4
0,0,0,0,0,0,0,0,1,1,2
0,0,0,0,0,1,0,0,1,4,6
0,0,0,0,0,0,0,0,2,3,5
0,0,0,0,0,0,1,1,0,2,4
0,0,0,1,0,0,0,0,0,3,4
0,0,0,0,0,0,1,0,0,2,3
0,0,0,0,0,0,0,1,1,6,8
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,3,5
0,0,0,0,0,0,0,0,0,2,2
0,0,0,1,0,0,0,0,0,2,3
0,0,0,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,2,0,4,6
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857143,0,0,0.428571428571445,0,0.14285714285711,1.99999999999994,2.71428571428564
0,0,0,0.142857142857141,0,0,0.428571428571331,0,0.142857142857338,2.00000000000034,2.71428571428615
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857139,0.142857142857167,0,0,0.28571428571422,0.571428571428527
0,0,0,0,0,0.142857142857167,0.142857142856997,0,0,0.285714285714676,0.571428571428839
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0,0,0.57142857142901,0.57142857142901
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142857167,0.14285714285711,0,0.571428571428554,0.857142857142833
0,0,0,0,0,0,0.142857142856997,0.142857142857338,0,0.571428571428669,0.857142857143003
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285714334,0.285714285714334,0.28571428571422,0.85714285714289
0,0,0,0,0,0,0,0.285714285713993,0.285714285713993,0.285714285714676,0.857142857142662
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571445,0.857142857142662,1.28571428571411
0,0,0,0,0,0,0,0,0.428571428571331,0.857142857144026,1.28571428571536
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714278,0.285714285714334,0.571428571428555,1.14285714285722,2.28571428571439
0,0,0,0,0,0,0.285714285714334,0.285714285713993,0.571428571428669,1.14285714285666,2.28571428571365
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857139,0,0,0.14285714285711,0.714285714285666,3.28571428571433,4.28571428571425
0,0,0,0,0.142857142857167,0,0,0.142857142857338,0.714285714286007,3.285714285714,4.28571428571451
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,0.14285714285711,2.28571428571422,3.28571428571423
0,0,0,0,0.285714285714292,0,0.285714285714334,0.285714285713993,0.142857142857338,2.28571428571468,3.28571428571463
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,0,1.42857142857156,2.14285714285734
0,0,0,0,0.142857142857125,0.142857142857167,0.142857142856997,0.285714285713993,0,1.42857142857065,2.14285714285593
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
