NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
1,1,MCMC,Metropolis,/,560797.782603787956759,159999,0,14.222033498000000,13.852343864000000,0.606207732860446,0.063252728933372,0.611813898455365,0.201041803086209,0.000138325953268,0.059310382528562,0.041033956577793,0.035869940623038,0.059436382580237,0.041129721837108,0.050477038956258,0.029860309807302
1,1,MCMC,Metropolis,/,431483.363844823907129,319999,0,27.593840472000000,27.220393596000001,0.605185734803429,0.062710267945789,0.612019269658116,0.200774586204314,0.000138330785807,0.059416696584859,0.040049806354095,0.037680412171951,0.061211495188454,0.045837359437327,0.053760142383087,0.031830771820576
1,1,MCMC,Metropolis,/,404006.238122255890630,479999,0,40.998572273000001,40.622117621999998,0.604896002903475,0.062849536309742,0.612113787705579,0.200325892220072,0.000138327077503,0.059741500826577,0.038508080651344,0.037959351652553,0.061507391731303,0.047088798377954,0.055155631496504,0.033893461648796
1,1,MCMC,Metropolis,/,391648.476930629869457,639999,0,54.404394208000006,54.027550151000000,0.604614603153916,0.063062748575649,0.612236704747904,0.199807262717695,0.000138337815298,0.059863299675347,0.037867377830270,0.037999197836786,0.061424302728504,0.047401381258699,0.055854674153745,0.035885180744515
1,1,MCMC,Metropolis,/,381951.654270552331582,799999,0,67.697441248000004,67.319214728999995,0.604412873569488,0.063400074545986,0.612344390437097,0.199337092758745,0.000138332214177,0.059925941233050,0.037587413968866,0.037980775090607,0.061447337822587,0.047492698040565,0.056157235755444,0.037847205308721
1,1,MCMC,Metropolis,/,373894.553865326219238,959999,0,81.013607568000012,80.619259126000003,0.604284629742117,0.063718964854518,0.612538641008878,0.198915522486185,0.000138343013251,0.059960091340890,0.037469311565967,0.038031134564566,0.061346538178374,0.047535169944458,0.056321269568146,0.039665478506085
1,1,MCMC,Metropolis,/,366842.071906974597368,1119999,0,94.413968582999999,94.018456512000000,0.604106270477103,0.064047429988338,0.612699820617864,0.198441577550075,0.000138328079770,0.059984394180693,0.037387951443363,0.038024678788382,0.061188615488645,0.047490947776230,0.056500843112524,0.041403146396004
1,1,MCMC,Metropolis,/,361594.529866081662476,1279999,0,107.849103781000011,107.448949643999995,0.603891010549529,0.064407559837113,0.612822630593616,0.198051486601544,0.000138352149381,0.059981092224489,0.037442511514556,0.037936360599638,0.061061642416658,0.047420123829610,0.056548267568837,0.042852033138186
1,1,MCMC,Metropolis,/,357435.337316924240440,1439999,0,121.328694042000009,120.928280403000002,0.603749510826512,0.064842628535101,0.613021335109890,0.197575372613392,0.000138353774109,0.059997335370545,0.037456144974633,0.038041097387091,0.060936807251999,0.047356613372834,0.056539053147065,0.044103195769416
1,1,MCMC,Metropolis,/,354520.728483117592987,1599999,0,134.764377783000015,134.356605816000013,0.603727163854930,0.065216218652637,0.613230790288576,0.197134745124552,0.000138361290937,0.060011454220705,0.037504347948983,0.038162986503503,0.060894992502536,0.047246546294804,0.056466221277950,0.045103560210194
1,1,MCMC,Metropolis,/,352372.022074560925830,1759999,0,147.996744125000021,147.588525838999999,0.603539871949004,0.065624868658966,0.613408856379539,0.196670809691332,0.000138356241019,0.060022949257781,0.037515181378552,0.038226916698614,0.060842017896138,0.047240615614063,0.056358210948359,0.045866600883798
1,1,MCMC,Metropolis,/,350627.574852317280602,1919999,0,161.332652029000002,160.911012233000008,0.603429714567679,0.066043402139290,0.613489786814856,0.196160641876674,0.000138356010990,0.060028125953604,0.037592500840475,0.038298611836246,0.060730621981055,0.047216257308667,0.056209650231542,0.046514835715167
1,1,MCMC,Metropolis,/,349158.323175167257432,2079999,0,174.718280844000020,174.288980572000014,0.603304557132461,0.066574409308298,0.613667307659597,0.195623414837582,0.000138383684366,0.060038710975045,0.037672947572037,0.038317572625803,0.060691768786005,0.047174562016992,0.056163181846736,0.046936317034669
1,1,MCMC,Metropolis,/,348032.974622085341252,2239999,0,187.990441480000015,187.557539410000004,0.603212996811427,0.067001346724698,0.613851980672529,0.195193644753013,0.000138386073783,0.060049325681183,0.037733695442765,0.038383828546790,0.060649739841626,0.047198957255111,0.056044762385804,0.047250271178669
1,1,MCMC,Metropolis,/,346788.166855925112031,2399999,0,201.215999926000023,200.782305938999997,0.603123126613490,0.067497051711131,0.614060726424119,0.194633475336317,0.000138389106857,0.060068627584656,0.037773360238943,0.038490654916872,0.060661097185424,0.047246145759849,0.055929017449537,0.047507020492329
1,1,MCMC,Metropolis,/,345692.010678369028028,2559999,0,214.411364705000011,213.977377861000008,0.603026594160521,0.067977225070973,0.614216858823834,0.194157992751262,0.000138382903894,0.060093196448579,0.037781878232420,0.038630775332209,0.060626466873185,0.047332163161213,0.055803190083215,0.047715264115355
