NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
80,MCMC,Gibbs,/,6904616.568519741296768,29,0,0.004269528000000,0.004270360000000,0.875624556621440,0.077497692459548,0.392313069652582,0.332794852595300,0.000246871937007,0.013628456390443,0.022893219986553,0.051196595792227,0.037947960084847,0.023835791204543,0.039341209570043,0.060044529076980,0.529228714376335,0.228414807345902,0.742184628141893,0.242529389208127,0.000123762362279,0.067221827396107,0.042143348677762,0.041031158708005,0.007521709205830,0.015572632324678,0.004828219833195,0.007717538016404
80,MCMC,Gibbs,/,6904288.481360645964742,59,0,0.008869956000000,0.008870528000000,0.875621926728010,0.077487864158290,0.392311983938012,0.332794852595300,0.000246872107126,0.013628456390443,0.022900608550344,0.051196595792227,0.037947960084847,0.023835791204543,0.039343747316639,0.060045349498582,0.529228714376335,0.228409256542880,0.742184957666152,0.242525277567124,0.000123762362279,0.067225461884615,0.042145745381558,0.041031158708005,0.007522372546150,0.015572632324678,0.004829085438051,0.007726964861255
80,MCMC,Gibbs,/,6904177.354864219203591,89,0,0.013239983000000,0.013240504000000,0.875621351049716,0.077487864158290,0.392314725221742,0.332793646138902,0.000246872396660,0.013628456390443,0.022901145679480,0.051196595792227,0.037948657881225,0.023835791204543,0.039343747316639,0.060045349498582,0.529222669741350,0.228409256542880,0.742181328199682,0.242533718575631,0.000123762362279,0.067225461884615,0.042146152701485,0.041031158708005,0.007525571209491,0.015572632324678,0.004830339473670,0.007727419009546
80,MCMC,Gibbs,/,6904014.013481051661074,119,0,0.017596404000000,0.017595763000000,0.875621351049716,0.077487864158290,0.392309243288060,0.332793646138902,0.000246872396660,0.013629498890377,0.022903503818878,0.051198610741190,0.037948657881225,0.023835791204543,0.039345338398731,0.060046824605035,0.529221701879513,0.228404831663770,0.742181599320517,0.242536251169542,0.000123763015546,0.067225461884615,0.042146152701485,0.041031658902158,0.007525571209491,0.015572632324678,0.004836218953823,0.007727419009546
80,MCMC,Gibbs,/,6903885.379079790785909,149,0,0.023785885000000,0.023565103000000,0.875621351049716,0.077487864158290,0.392303892856962,0.332790371660887,0.000246872396660,0.013634584845660,0.022903503818878,0.051198610741190,0.037953615867885,0.023835791204543,0.039345442965476,0.060048622892904,0.529220935982388,0.228404831663770,0.742179829355533,0.242536251169542,0.000123763015546,0.067227089916128,0.042146152701485,0.041031658902158,0.007528669055110,0.015572632324678,0.004836218953823,0.007732169121191
80,MCMC,Gibbs,/,6903745.233931839466095,179,0,0.028562001000000,0.028345387000000,0.875621351049716,0.077480621331010,0.392306665920519,0.332789166562568,0.000246873551953,0.013634584845660,0.022905659759081,0.051198610741190,0.037953615867885,0.023835791204543,0.039345442965476,0.060048622892904,0.529220935982388,0.228400118545608,0.742175748213921,0.242538829534651,0.000123763015546,0.067228006140778,0.042146152701485,0.041031658902158,0.007529706781213,0.015572632324678,0.004836218953823,0.007732169121191
80,MCMC,Gibbs,/,6903409.954076604917645,209,0,0.033554092000000,0.033334833000000,0.875608617580610,0.077473770617855,0.392303868814829,0.332787187455385,0.000246873551953,0.013635463767234,0.022910028753557,0.051201159441006,0.037955712635947,0.023835791204543,0.039345442965476,0.060048515955872,0.529220935982388,0.228393504578299,0.742175867787813,0.242537402930696,0.000123763015546,0.067229631157578,0.042146152701485,0.041038873099252,0.007531136319659,0.015574915839364,0.004838195859498,0.007732169121191
80,MCMC,Gibbs,/,6903281.609811680391431,239,0,0.038341750000000,0.038118654000000,0.875608003908130,0.077473770617855,0.392298349361895,0.332787187455385,0.000246873551953,0.013635463767234,0.022910789081597,0.051201159441006,0.037955712635947,0.023835791204543,0.039345442965476,0.060050310673855,0.529218219655713,0.228389611418049,0.742181824281854,0.242534116727010,0.000123762984652,0.067229631157578,0.042145825819729,0.041045410538086,0.007533177489298,0.015574915839364,0.004838195859498,0.007738375172198
80,MCMC,Gibbs,/,6903094.745738336816430,269,0,0.043640714000000,0.043419612000000,0.875608003908130,0.077473770617855,0.392297052136812,0.332786174550363,0.000246873016696,0.013635463767234,0.022915730781919,0.051201159441006,0.037958007866440,0.023835791204543,0.039347539018137,0.060057925835895,0.529216078256680,0.228389611418049,0.742180771227711,0.242540022409718,0.000123761176041,0.067229631157578,0.042145825819729,0.041048709882079,0.007537962584314,0.015574915839364,0.004841893463000,0.007738375172198
80,MCMC,Gibbs,/,6902979.413427749648690,299,0,0.048636482000000,0.048415840000000,0.875604599388993,0.077473770617855,0.392294761631814,0.332786174550363,0.000246872334442,0.013635463767234,0.022916569927331,0.051201159441006,0.037958007866440,0.023835791204543,0.039347190706547,0.060061151468119,0.529216078256680,0.228386540890027,0.742180217348806,0.242536319176599,0.000123759958258,0.067229631157578,0.042145825819729,0.041049433161814,0.007541863675890,0.015575906969286,0.004844248653097,0.007743814025174
