S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3,S_4,I_4,R_4,Q_4,D_4,Q_entry_4,D_entry_4,S_5,I_5,R_5,Q_5,D_5,Q_entry_5,D_entry_5,S_6,I_6,R_6,Q_6,D_6,Q_entry_6,D_entry_6,S_7,I_7,R_7,Q_7,D_7,Q_entry_7,D_entry_7
0.230653,0.000289316,0,0,0,0,0,0.264505,0.000200721,0,0,0,0,0,0.15187,9.33326e-05,0,0,0,0,0,0.131018,0.000228006,0,0,0,0,0,0.047999,0.000233336,0,0,0,0,0,0.0469301,0.000166257,0,0,0,0,0,0.0443347,0.000264626,0,0,0,0,0,0.0810902,0.000124631,0,0,0,0,0
0.230592,0.000333961,1.58621e-05,2.89316e-17,0,2.89316e-17,0,0.2645,5.71293e-05,2.00721e-17,0.0001486,0,0.0001486,0,0.151864,5.20577e-05,3.45248e-06,4.39991e-05,0,4.39991e-05,0,0.131002,3.02638e-05,6.14971e-05,0.000152062,0,0.000152062,0,0.0479974,8.91127e-05,3.14292e-05,0.000114376,0,0.000114376,0,0.0469289,7.69081e-06,2.46124e-07,0.000159496,0,0.000159496,0,0.0443314,5.06618e-06,1.72053e-05,0.000245643,0,0.000245643,0,0.0810873,6.32307e-05,1.11325e-05,5.31713e-05,0,5.31713e-05,0
0.230522,0.000385478,3.41719e-05,3.33961e-17,2.89316e-17,3.33961e-17,2.89316e-17,0.264498,1.62601e-05,3.68412e-05,4.64341e-05,0.000107619,4.22946e-05,0.000107619,0.15186,2.90358e-05,2.31875e-05,2.70035e-05,2.37275e-05,2.45412e-05,2.37275e-05,0.131,4.01675e-06,0.000111046,2.07563e-05,0.000110103,2.01836e-05,0.000110103,0.0479968,3.40327e-05,0.0001528,4.79799e-05,7.08547e-07,4.36809e-05,7.08547e-07,0.0469289,3.55764e-07,6.20305e-05,2.18391e-05,8.32615e-05,7.37802e-06,8.32615e-05,0.0443314,9.6986e-08,0.000183039,1.41614e-05,7.06802e-05,4.70277e-06,7.06802e-05,0.0810859,3.20797e-05,5.27225e-05,3.01302e-05,1.40754e-05,2.69762e-05,1.40754e-05
0.230442,0.000444917,5.53061e-05,3.85478e-17,6.23277e-17,3.85478e-17,3.33961e-17,0.264498,4.62796e-06,4.83533e-05,1.33314e-05,0.000141248,1.20379e-05,3.36286e-05,0.151859,1.61951e-05,3.51917e-05,1.51994e-05,3.82897e-05,1.36882e-05,1.45622e-05,0.131,5.33115e-07,0.000117779,2.75703e-06,0.000125132,2.67886e-06,1.50289e-05,0.0479966,1.29973e-05,0.000203264,1.84854e-05,1.00578e-06,1.6682e-05,2.97231e-07,0.0469289,1.6457e-08,7.04894e-05,2.3214e-06,9.46621e-05,3.41295e-07,1.14007e-05,0.0443314,1.85668e-09,0.000192587,6.35319e-07,7.47549e-05,9.0029e-08,4.07472e-06,0.0810851,1.62754e-05,7.59549e-05,1.54734e-05,2.20514e-05,1.36862e-05,7.976e-06
0.230349,0.000513488,7.96992e-05,4.44917e-17,1.00875e-16,4.44917e-17,3.85478e-17,0.264498,1.31721e-06,5.16584e-05,3.79759e-06,0.000150903,3.42622e-06,9.65487e-06,0.151858,9.03297e-06,4.1943e-05,8.48532e-06,4.64862e-05,7.63473e-06,8.19657e-06,0.131,7.07567e-08,0.000118673,3.6593e-07,0.000127128,3.55546e-07,1.99627e-06,0.0479965,4.96374e-06,0.000222691,7.06577e-06,1.12029e-06,6.37095e-06,1.14515e-07,0.0469289,7.61274e-10,7.13885e-05,2.26264e-07,9.5874e-05,1.57877e-08,1.21184e-06,0.0443314,3.55439e-11,0.000193015,2.61867e-08,7.49377e-05,1.72349e-09,1.82803e-07,0.0810847,8.25724e-06,8.78682e-05,7.86145e-06,2.61475e-05,6.94361e-06,4.0961e-06
0.230241,0.000592585,0.000107852,5.13488e-17,1.45367e-16,5.13488e-17,4.44917e-17,0.264498,3.74904e-07,5.25999e-05,1.08096e-06,0.000153653,9.75171e-07,2.7503e-06,0.151857,5.03823e-06,4.57117e-05,4.73321e-06,5.10621e-05,4.25835e-06,4.57589e-06,0.131,9.39104e-09,0.000118792,4.85674e-08,0.000127393,4.71892e-08,2.64957e-07,0.0479965,1.89568e-06,0.000230116,2.69869e-06,1.16407e-06,2.4331e-06,4.37717e-08,0.0469289,3.52152e-11,7.14761e-05,2.12452e-08,9.59921e-05,7.30313e-10,1.18117e-07,0.0443314,6.80444e-13,0.000193033,1.04133e-09,7.49452e-05,3.29942e-11,7.53484e-09,0.0810846,4.18925e-06,9.39199e-05,3.98912e-06,2.82286e-05,3.5228e-06,2.08107e-06
0.230118,0.000683809,0.000140341,5.92585e-17,1.96716e-16,5.92585e-17,5.13488e-17,0.264498,1.06705e-07,5.28679e-05,3.07665e-07,0.000154436,2.77553e-07,7.82853e-07,0.151857,2.81012e-06,4.78139e-05,2.64002e-06,5.36146e-05,2.37514e-06,2.55248e-06,0.131,1.24641e-09,0.000118808,6.44601e-09,0.000127428,6.26309e-09,3.51659e-08,0.0479965,7.23971e-07,0.000232951,1.03065e-06,1.18078e-06,9.29216e-07,1.67181e-08,0.0469289,1.629e-12,7.14843e-05,1.96004e-09,9.60032e-05,3.3783e-11,1.10906e-08,0.0443314,1.30263e-14,0.000193033,4.07283e-11,7.49455e-05,6.31634e-13,2.99626e-10,0.0810845,2.12539e-06,9.69906e-05,2.02389e-06,2.92846e-05,1.78727e-06,1.05599e-06
0.229975,0.000788998,0.000177832,6.83809e-17,2.55974e-16,6.83809e-17,5.92585e-17,0.264498,3.03704e-08,5.29442e-05,8.75676e-08,0.000154659,7.89971e-08,2.22817e-07,0.151856,1.56737e-06,4.89864e-05,1.4725e-06,5.50383e-05,1.32476e-06,1.42369e-06,0.131,1.65427e-10,0.00011881,8.55533e-10,0.000127433,8.31256e-10,4.66733e-09,0.0479965,2.76489e-07,0.000234034,3.93613e-07,1.18717e-06,3.54873e-07,6.38479e-09,0.0469289,7.53546e-14,7.14851e-05,1.79275e-10,9.60042e-05,1.56274e-12,1.0232e-09,0.0443314,2.49372e-16,0.000193033,1.58035e-12,7.49455e-05,1.20919e-14,1.1719e-11,0.0810844,1.0783e-06,9.85485e-05,1.02681e-06,2.98203e-05,9.06758e-07,5.3576e-07
0.229811,0.000910267,0.000221089,7.88998e-17,3.24355e-16,7.88998e-17,6.83809e-17,0.264498,8.64402e-09,5.29659e-05,2.49235e-08,0.000154722,2.24842e-08,6.34183e-08,0.151856,8.74217e-07,4.96404e-05,8.213e-07,5.58324e-05,7.38895e-07,7.94076e-07,0.131,2.19559e-11,0.00011881,1.13549e-10,0.000127434,1.10327e-10,6.19461e-10,0.0479965,1.05593e-07,0.000234448,1.50323e-07,1.18961e-06,1.35528e-07,2.43839e-09,0.0469289,3.48577e-15,7.14852e-05,1.63268e-11,9.60043e-05,7.22899e-14,9.35871e-11,0.0443314,4.77393e-18,0.000193033,6.10837e-14,7.49455e-05,2.31484e-16,4.54723e-13,0.0810844,5.47069e-07,9.93389e-05,5.20945e-07,3.00921e-05,4.60037e-07,2.71815e-07
0.229621,0.00105004,0.000270996,9.10267e-17,4.03255e-16,9.10267e-17,7.88998e-17,0.264498,2.46026e-09,5.29721e-05,7.09371e-09,0.00015474,6.39944e-09,1.80501e-08,0.151856,4.87603e-07,5.00052e-05,4.58088e-07,5.62753e-05,4.12126e-07,4.42903e-07,0.131,2.91406e-12,0.00011881,1.50706e-11,0.000127434,1.46429e-11,8.22168e-11,0.0479965,4.03265e-08,0.000234606,5.74093e-08,1.19054e-06,5.1759e-08,9.31236e-10,0.0469289,1.61246e-16,7.14852e-05,1.48366e-12,9.60043e-05,3.34401e-15,8.52308e-12,0.0443314,9.1391e-20,0.000193033,2.35649e-15,7.49455e-05,4.43148e-18,1.75759e-14,0.0810844,2.77552e-07,9.97399e-05,2.64298e-07,3.023e-05,2.33397e-07,1.37903e-07
0.229402,0.00121109,0.000328565,1.05004e-16,4.94282e-16,1.05004e-16,9.10267e-17,0.264498,7.00238e-10,5.29738e-05,2.01901e-09,0.000154745,1.82141e-09,5.13742e-09,0.151856,2.71965e-07,5.02087e-05,2.55503e-07,5.65223e-05,2.29867e-07,2.47034e-07,0.131,3.86762e-13,0.00011881,2.00021e-12,0.000127434,1.94345e-12,1.09121e-11,0.0479965,1.54009e-08,0.000234666,2.19249e-08,1.19089e-06,1.97671e-08,3.55645e-10,0.0469289,7.45896e-18,7.14852e-05,1.34675e-13,9.60043e-05,1.54688e-16,7.74515e-13,0.0443314,1.74957e-21,0.000193033,9.08223e-17,7.49455e-05,8.48353e-20,6.78043e-16,0.0810844,1.40814e-07,9.99434e-05,1.3409e-07,3.03e-05,1.18412e-07,6.99644e-08
0.22915,0.00139661,0.000394965,1.21109e-16,5.99286e-16,1.21109e-16,1.05004e-16,0.264498,1.99302e-10,5.29743e-05,5.74651e-10,0.000154747,5.18408e-10,1.46221e-09,0.151856,1.51691e-07,5.03222e-05,1.42509e-07,5.66601e-05,1.28211e-07,1.37785e-07,0.131,5.13323e-14,0.00011881,2.65474e-13,0.000127434,2.5794e-13,1.44828e-12,0.0479965,5.88171e-09,0.000234689,8.37326e-09,1.19103e-06,7.54916e-09,1.35823e-10,0.0469289,3.45039e-19,7.14852e-05,1.22178e-14,9.60043e-05,7.15561e-18,7.03044e-14,0.0443314,3.34934e-23,0.000193033,3.49878e-18,7.49455e-05,1.62407e-21,2.61328e-17,0.0810844,7.1441e-08,0.000100047,6.80295e-08,3.03355e-05,6.00757e-08,3.5496e-08
0.22886,0.00161022,0.000471535,1.39661e-16,7.20395e-16,1.39661e-16,1.21109e-16,0.264498,5.67252e-11,5.29745e-05,1.63557e-10,0.000154747,1.47549e-10,4.16174e-10,0.151856,8.46071e-08,5.03854e-05,7.94858e-08,5.67369e-05,7.15107e-08,7.68511e-08,0.131,6.81297e-15,0.00011881,3.52345e-14,0.000127434,3.42346e-14,1.9222e-13,0.0479965,2.24626e-09,0.000234698,3.1978e-09,1.19108e-06,2.88307e-09,5.18715e-11,0.0469289,1.59609e-20,7.14852e-05,1.1081e-15,9.60043e-05,3.31006e-19,6.37808e-15,0.0443314,6.4119e-25,0.000193033,1.34753e-19,7.49455e-05,3.10908e-23,1.00672e-18,0.0810844,3.62451e-08,0.000100099,3.45143e-08,3.03535e-05,3.0479e-08,1.80086e-08
0.228526,0.00185608,0.000559818,1.61022e-16,8.60056e-16,1.61022e-16,1.39661e-16,0.264498,1.61451e-11,5.29745e-05,4.65516e-11,0.000154747,4.19955e-11,1.18451e-10,0.151856,4.71904e-08,5.04207e-05,4.4334e-08,5.67798e-05,3.98857e-08,4.28644e-08,0.131,9.04238e-16,0.00011881,4.67642e-15,0.000127434,4.54372e-15,2.5512e-14,0.0479965,8.57859e-10,0.000234702,1.22126e-09,1.1911e-06,1.10106e-09,1.981e-11,0.0469289,7.38324e-22,7.14852e-05,1.00484e-16,9.60043e-05,1.53118e-20,5.7846e-16,0.0443314,1.22748e-26,0.000193033,5.18932e-21,7.49455e-05,5.95196e-25,3.87732e-20,0.0810844,1.83887e-08,0.000100126,1.75106e-08,3.03626e-05,1.54633e-08,9.13656e-09
0.228141,0.00213893,0.00066158,1.85608e-16,1.02108e-15,1.85608e-16,1.61022e-16,0.264498,4.59522e-12,5.29745e-05,1.32495e-11,0.000154747,1.19527e-11,3.37136e-11,0.151856,2.63209e-08,5.04404e-05,2.47277e-08,5.68037e-05,2.22467e-08,2.3908e-08,0.131,1.20013e-16,0.00011881,6.20669e-16,0.000127434,6.03056e-16,3.38603e-15,0.0479965,3.27622e-10,0.000234703,4.66406e-10,1.19111e-06,4.20502e-10,7.56557e-12,0.0469289,3.41536e-23,7.14852e-05,9.11138e-18,9.60043e-05,7.08297e-22,5.24557e-17,0.0443314,2.34986e-28,0.000193033,1.99828e-22,7.49455e-05,1.13943e-26,1.49315e-21,0.0810844,9.32939e-09,0.000100139,8.88388e-09,3.03673e-05,7.84521e-09,4.63537e-09
0.227699,0.00246412,0.000778849,2.13893e-16,1.20669e-15,2.13893e-16,1.85608e-16,0.264498,1.30789e-12,5.29745e-05,3.77107e-12,0.000154747,3.40199e-12,9.59557e-12,0.151856,1.46807e-08,5.04514e-05,1.37921e-08,5.6817e-05,1.24083e-08,1.33349e-08,0.131,1.59285e-17,0.00011881,8.2377e-17,0.000127434,8.00395e-17,4.49405e-16,0.0479965,1.25121e-10,0.000234703,1.78123e-10,1.19111e-06,1.60592e-10,2.88934e-12,0.0469289,1.57989e-24,7.14852e-05,8.26142e-19,9.60043e-05,3.27646e-23,4.75641e-18,0.0443314,4.49853e-30,0.000193033,7.6947e-24,7.49455e-05,2.1813e-28,5.74976e-23,0.0810844,4.7332e-09,0.000100146,4.50718e-09,3.03696e-05,3.98021e-09,2.35172e-09
